"position","wealth","industry","full_name","age","country_of_residence","city_of_residence","source","citizenship","gender"
466,5500,"Technology","Patrick Collison",34,"United States","San Francisco","Payment software","Ireland","M"
466,5500,"Manufacturing","Archie Aldis Emmerson & family",93,"United States","Redding","Timberland, lumber mills","United States","M"
466,5500,"Automotive","Piero Ferrari",77,"Italy","Modena","Automobiles","Italy","M"
466,5500,"Automotive","Dan Friedkin",58,"United States","Houston","Toyota dealerships","United States","M"
466,5500,"Diversified","James Irving",95,"Canada","Saint John","Diversified","Canada","M"
466,5500,"Manufacturing","Jiang Weiping & family",68,"China","Chengdu","Chemicals","China","M"
466,5500,"Healthcare","Wolfgang Marguerre & family",81,"Germany","Heidelberg","Pharmaceuticals","Germany","M"
466,5500,"Finance & Investments","Ludwig Merckle",58,"Germany","Ulm","Pharmaceuticals","Germany","M"
466,5500,"Manufacturing","Mitchell Rales",66,"United States","Potomac","Manufacturing, investments","United States","M"
466,5500,"Media & Entertainment","Katharine Rayner",78,"United States","East Hampton","Media, automotive","United States","F"
466,5500,"Finance & Investments","Jean Salata",57,"Hong Kong","Hong Kong","Finance","Chile","M"
466,5500,"Finance & Investments","Paul Singer",78,"United States","New York","Hedge funds","United States","M"
466,5500,"Healthcare","Sergio Stevanato & family",80,"Italy","Venice","Medical packaging","Italy","M"
466,5500,"Media & Entertainment","Margaretta Taylor",80,"United States","Southampton","Media, automotive","United States","F"
466,5500,"Technology","Richard White",68,"Australia","Sydney","Software","Australia","M"
466,5500,"Diversified","Zhao Yan",56,"China","Beijing","Biotech","China","F"
486,5400,"Fashion & Retail","Patrizio Bertelli",77,"Italy","Milan","Luxury goods","Italy","M"
486,5400,"Manufacturing","Mahendra Choksi & family",81,"India","Mumbai","Paints","India","M"
486,5400,"Finance & Investments","Mat Ishbia",43,"United States","Bloomfield Hills","Mortgage lender","United States","M"
486,5400,"Technology","Leo Koguan",68,"Singapore","Singapore","IT provider","United States","M"
486,5400,"Diversified","Miao Hangen",58,"China","Suzhou","Textiles, petrochemicals","China","M"
486,5400,"Manufacturing","Michael Pieper",77,"Switzerland","Lucerne","Kitchen appliances","Switzerland","M"
486,5400,"Fashion & Retail","Miuccia Prada",73,"Italy","Milan","Luxury goods","Italy","F"
486,5400,"Fashion & Retail","Wolfgang Reimann",70,"Germany","Passau","Consumer goods","Germany","M"
486,5400,"Fashion & Retail","Matthias Reimann-Andersen",58,"Germany","Munich","Consumer goods","Germany","M"
486,5400,"Fashion & Retail","Stefan Reimann-Andersen",59,"Austria","Vienna","Consumer goods","Germany","M"
486,5400,"Fashion & Retail","Renate Reimann-Haas",71,"Austria","Vienna","Consumer goods","Germany","F"
497,5300,"Finance & Investments","Todd Boehly",49,"United States","Darien","Finance","United States","M"
497,5300,"Real Estate","Rick Caruso",64,"United States","Los Angeles","Real estate","United States","M"
497,5300,"Manufacturing","Ibrahim Erdemoglu",60,"Turkey","Istanbul","Carpet","Turkey","M"
497,5300,"Finance & Investments","Elizabeth Johnson",59,"United States","Boston","Fidelity","United States","F"
497,5300,"Finance & Investments","Douglas Leone",65,"United States","Atherton","Venture capital","United States","M"
497,5300,"Diversified","Prajogo Pangestu",78,"Indonesia","Jakarta","Petrochemicals","Indonesia","M"
497,5300,"Finance & Investments","Thomas Pritzker",72,"United States","Chicago","Hotels, investments","United States","M"
497,5300,"Food & Beverage","Lynda Resnick",80,"United States","Beverly Hills","Agriculture","United States","F"
497,5300,"Food & Beverage","Stewart Resnick",86,"United States","Beverly Hills","Agriculture","United States","M"
497,5300,"Service","Gary Rollins",78,"United States","Atlanta","Pest control","United States","M"
497,5300,"Finance & Investments","Mark Walter",62,"United States","Chicago","Finance, asset management","United States","M"
497,5300,"Manufacturing","Ronald Wanek",81,"United States","Saint Petersburg","Furniture","United States","M"
497,5300,"Food & Beverage","Erich Wesjohann & family",77,"Germany","Visbek","Poultry genetics","Germany","M"
497,5300,"Fashion & Retail","M.A. Yusuff Ali",67,"United Arab Emirates","Abu Dhabi","Retail","India","M"
511,5200,"Finance & Investments","Alexandre Behring",56,"United States","Greenwich","Investments","Brazil","M"
511,5200,"Food & Beverage","Cheng Xue",53,"China","Foshan","Soy sauce","China","F"
511,5200,"Real Estate","Robert Faith",59,"United States","Charleston","Real estate management","United States","M"
511,5200,"Fashion & Retail","Gao Dekang & family",71,"China","Changshu","Apparel","China","M"
511,5200,"Fashion & Retail","Micky Jagtiani",71,"United Arab Emirates","Dubai","Retail","India","M"
511,5200,"Telecom","Ananda Krishnan",85,"Malaysia","Kuala Lumpur","Telecoms, media, oil-services","Malaysia","M"
511,5200,"Technology","Barry Lam",73,"Taiwan","Taipei","Electronics","Taiwan","M"
511,5200,"Food & Beverage","Robert Rich, Jr.",82,"United States","Islamorada","Frozen foods","United States","M"
511,5200,"Gambling & Casinos","Mark Scheinberg",49,"United Kingdom","Isle of Man","Online gambling","Canada","M"
511,5200,"Technology","Charles Simonyi",74,"United States","Medina","Microsoft","United States","M"
511,5200,"Real Estate","Ty Warner",78,"United States","Oak Brook","Plush toys, real estate","United States","M"
511,5200,"Real Estate","Sam Zell",81,"United States","Chicago","Real estate, private equity","United States","M"
523,5100,"Manufacturing","Fang Wei",49,"China","Beijing","Steel","China","M"
523,5100,"Finance & Investments","Rekha Jhunjhunwala",59,"India","Mumbai","Investments","India","F"
523,5100,"Finance & Investments","Charles B. Johnson",90,"United States","Palm Beach","Franklin Templeton","United States","M"
523,5100,"Media & Entertainment","Kwon Hyuk-bin",49,"South Korea","Seoul","Online games","South Korea","M"
523,5100,"Finance & Investments","Sami Mnaymneh",61,"United States","Miami Beach","Private equity","United States","M"
523,5100,"Logistics","Kjell Inge Rokke",64,"Norway","Vettre","Shipping, seafood","Norway","M"
523,5100,"Finance & Investments","Tony Tamer",65,"United States","New York","Private equity","United States","M"
523,5100,"Healthcare","Tse Ping & family",71,"Hong Kong","Hong Kong","Pharmaceuticals","China","M"
523,5100,"Technology","Romesh T. Wadhwani",75,"United States","Palo Alto","Software","United States","M"
523,5100,"Healthcare","Hansjoerg Wyss",88,"United States","Wilson","Medical devices","Switzerland","M"
523,5100,"Sports","Denise York & family",72,"United States","Youngstown","San Francisco 49ers","United States","F"
534,5000,"Finance & Investments","Ron Baron",79,"United States","New York","Money management","United States","M"
534,5000,"Energy","Robert Bass",75,"United States","Fort Worth","Oil, investments","United States","M"
534,5000,"Healthcare","Dona Bertarelli",55,"Switzerland","Gstaad","Biotech and investments","Switzerland","F"
534,5000,"Finance & Investments","Alexander Gerko",43,"United Kingdom","London","Trading","United Kingdom","M"
534,5000,"Technology","Martin Haefner",69,"Switzerland","Zurich","Software, investments","Switzerland","M"
534,5000,"Telecom","Robert Hale, Jr.",56,"United States","Boston","Telecom","United States","M"
534,5000,"Healthcare","Viktor Kharitonin",50,"Russia","Moscow","Pharmaceuticals","Russia","M"
534,5000,"Technology","Kim Beom-su",57,"South Korea","Seoul","Online services","South Korea","M"
534,5000,"Fashion & Retail","Jane Lauder",50,"United States","New York","Estée Lauder","United States","F"
534,5000,"Fashion & Retail","Michel Leclercq & family",83,"France","Lille","Sporting goods","France","M"
534,5000,"Media & Entertainment","George Lucas",78,"United States","San Anselmo","Star Wars","United States","M"
534,5000,"Sports","Janice McNair",86,"United States","Houston","Energy, sports","United States","F"
534,5000,"Healthcare","Ugur Sahin",57,"Germany","Mainz","Biotechnology","Germany","M"
534,5000,"Real Estate","Alexandra Schoerghuber & family",64,"Germany","Munich","Real estate","Germany","F"
534,5000,"Healthcare","Thomas Straumann",59,"Switzerland","Basel","Dental implants","Switzerland","M"
534,5000,"Food & Beverage","Murat Ulker",64,"Turkey","Istanbul","Food","Turkey","M"
534,5000,"Fashion & Retail","Chip Wilson",66,"Canada","Vancouver","Lululemon","Canada","M"
534,5000,"Real Estate","Zhu Yan & family",59,"China","Beijing","Real estate","China","F"
552,4900,"Manufacturing","Jim Davis & family",79,"United States","Newton","New Balance","United States","M"
552,4900,"Healthcare","Murali Divi & family",72,"India","Hyderabad","Pharmaceuticals","India","M"
552,4900,"Technology","Dagmar Dolby & family",81,"United States","San Francisco","Dolby Laboratories","United States","F"
552,4900,"Technology","Marcos Galperin",84,"Argentina","Buenos Aires","E-commerce","Argentina","M"
552,4900,"Service","Tom Golisano",81,"United States","Naples","Payroll services","United States","M"
552,4900,"Finance & Investments","Jonathan Gray",53,"United States","New York","Investments","United States","M"
552,4900,"Finance & Investments","Bidzina Ivanishvili",67,"Georgia","Tbilisi","Investments","Georgia","M"
552,4900,"Metals & Mining","Lim Hariyanto Wijaya Sarwono",94,"Indonesia","Jakarta","Palm oil, nickel mining","Indonesia","M"
552,4900,"Healthcare","Rudolf Maag",77,"Switzerland","Binningen","Medical devices","Switzerland","M"
552,4900,"Food & Beverage","Emanuele (Lino) Saputo & family",86,"Canada","Montreal","Cheese","Canada","M"
552,4900,"Automotive","Mark Shoen",72,"United States","Phoenix","U-Haul","United States","M"
552,4900,"Sports","Dan Snyder",58,"United States","Potomac","Washington Commanders","United States","M"
552,4900,"Diversified","Chairul Tanjung",60,"Indonesia","Jakarta","Diversified","Indonesia","M"
552,4900,"Energy","Kelcy Warren",67,"United States","Dallas","Pipelines","United States","M"
552,4900,"Fashion & Retail","Zhang Tao",50,"China","Beijing","E-commerce","China","M"
567,4800,"Fashion & Retail","Michael Ashley",58,"United Kingdom","Hertfordshire","Sports retailing","United Kingdom","M"
567,4800,"Fashion & Retail","Tomasz Biernacki",50,"Poland","Krotoszyn,","Supermarkets","Poland","M"
567,4800,"Healthcare","Bernard Broermann",79,"Germany","Koenigstein","Hospitals","Germany","M"
567,4800,"Fashion & Retail","Jimmy Haslam",69,"United States","Knoxville","Gas stations, retail","United States","M"
567,4800,"Manufacturing","H. Fisk Johnson",64,"United States","Racine","Cleaning products","United States","M"
567,4800,"Manufacturing","S. Curtis Johnson",67,"United States","Racine","Cleaning products","United States","M"
567,4800,"Manufacturing","Helen Johnson-Leipold",66,"United States","Racine","Cleaning products","United States","F"
567,4800,"Technology","Vinod Khosla",68,"United States","Portola Valley","Venture capital","United States","M"
567,4800,"Technology","Thai Lee",64,"United States","Austin","IT provider","United States","F"
567,4800,"Manufacturing","Winifred J. Marquart",63,"United States","Virginia Beach","Cleaning products","United States","F"
567,4800,"Healthcare","Pankaj Patel",70,"India","Ahmedabad","Pharmaceuticals","India","M"
567,4800,"Manufacturing","Horst Julius Pudwill",78,"Hong Kong","Hong Kong","Manufacturing","Germany","M"
567,4800,"Finance & Investments","Yu Yong",62,"China","Shanghai","Mining","China","M"
580,4700,"Diversified","Maria Fernanda Amorim & family",88,"Portugal","Grijo","Energy, investments","Portugal","F"
580,4700,"Sports","Gayle Benson",76,"United States","New Orleans","New Orleans Saints","United States","F"
580,4700,"Technology","Jason Chang",78,"Taiwan","Taipei","Electronics","Singapore","M"
580,4700,"Manufacturing","Ali Erdemoglu",63,"Turkey","Istanbul","Carpet","Turkey","M"
580,4700,"Finance & Investments","Andre Esteves",54,"Brazil","Sao paulo","Banking","Brazil","M"
580,4700,"Real Estate","Carlo Fidani",68,"Canada","Toronto","Real estate","Canada","M"
580,4700,"Technology","Hong Ra-hee",77,"South Korea","Seoul","Samsung","South Korea","F"
580,4700,"Manufacturing","Li Gaiteng",50,"China","Shanghai","Hair dryers","China","M"
580,4700,"Media & Entertainment","Thomas Secunda",68,"United States","Croton-on-Hudson","Bloomberg LP","United States","M"
580,4700,"Diversified","Zuowen Song",76,"China","Longkou","Aluminum, diversified","China","M"
580,4700,"Media & Entertainment","Tim Sweeney",52,"United States","Cary","Video games","United States","M"
591,4600,"Food & Beverage","Bert Beveridge",61,"United States","Austin","Vodka","United States","M"
591,4600,"Media & Entertainment","Mark Cuban",64,"United States","Dallas","Online media, Dallas Mavericks","United States","M"
591,4600,"Media & Entertainment","Charles Dolan & family",96,"United States","Oyster Bay","Cable television","United States","M"
591,4600,"Technology","Jack Dorsey",46,"United States","San Francisco","Twitter, Square","United States","M"
591,4600,"Energy","Fan Hongwei",56,"China","Wujiang","Petrochemicals","China","F"
591,4600,"Metals & Mining","Vladimir Kim",62,"Kazakhstan","Almaty","Mining","Kazakhstan","M"
591,4600,"Finance & Investments","Andre Koo, Sr.",55,"Taiwan","Taipei","Financial services","Taiwan","M"
591,4600,"Fashion & Retail","Ronald Lauder",79,"United States","New York","Estee Lauder","United States","M"
591,4600,"Manufacturing","Li Chunan",54,"China","Fushun","Renewable energy","China","M"
591,4600,"Media & Entertainment","Forrest Li",45,"Singapore","Singapore","Gaming","Singapore","M"
591,4600,"Telecom","Richard Li",56,"Hong Kong","Hong Kong","Telecom","Hong Kong","M"
591,4600,"Fashion & Retail","Doug Meijer & family",69,"United States","Grand Rapids","Supermarkets","United States","M"
591,4600,"Fashion & Retail","Hank Meijer & family",71,"United States","Grand Rapids","Supermarkets","United States","M"
591,4600,"Fashion & Retail","Mark Meijer & family",65,"United States","Grand Rapids","Supermarkets","United States","M"
591,4600,"Food & Beverage","Issad Rebrab & family",79,"Algeria","Algiers","Food","Algeria","M"
591,4600,"Logistics","Fred Smith",78,"United States","Memphis","FedEx","United States","M"
591,4600,"Finance & Investments","Barry Sternlicht",62,"United States","Miami","Private equity","United States","M"
591,4600,"Manufacturing","Maximilian Viessmann",34,"Germany","Battenberg","Heating, cooling equipment","Germany","M"
591,4600,"Food & Beverage","Russ Weiner",52,"United States","Delray Beach","Energy drinks","United States","M"
591,4600,"Healthcare","Xue Min",66,"China","Wuhan","Healthcare","China","M"
611,4500,"Food & Beverage","Juan Domingo Beckmann Legorreta & family",55,"Mexico","Unknown","Tequila","Mexico","M"
611,4500,"Technology","Dietmar Hopp & family",82,"Germany","Walldorf","Software","Germany","M"
611,4500,"Technology","Jiang Bin",56,"China","Weifang","Acoustic components","China","M"
611,4500,"Technology","Joseph Liemandt",54,"United States","Austin","Software","United States","M"
611,4500,"Food & Beverage","Theo Mueller",83,"Switzerland","Zurich","Dairy","Germany","M"
611,4500,"Technology","N.R. Narayana Murthy",76,"India","Bangalore","Software services","India","M"
611,4500,"Fashion & Retail","Odd Reitan & family",71,"Norway","Trondheim","Retail, real estate","Norway","M"
611,4500,"Finance & Investments","Marc Rowan",60,"United States","New York","Private equity","United States","M"
611,4500,"Real Estate","Hussain Sajwani",70,"United Arab Emirates","Dubai","Real estate","United Arab Emirates","M"
611,4500,"Finance & Investments","David Velez & family",41,"Brazil","Sao Paulo","Fintech","Colombia","M"
611,4500,"Manufacturing","Xu Jinfu",59,"China","Guangzhou","Chemicals","China","M"
611,4500,"Diversified","Samuel Yin",72,"Taiwan","Taipei","Retail","Taiwan","M"
611,4500,"Manufacturing","You Xiaoping & family",65,"China","Wenzhou","Chemicals, spandex","China","M"
624,4400,"Healthcare","Stéphane Bancel",50,"United States","Boston","Biotech, vaccines","France","M"
624,4400,"Technology","Margot Birmingham Perot",89,"United States","Dallas","Computer services, real estate","United States","F"
624,4400,"Manufacturing","Neal Blue & family",88,"United States","San Diego","Defense","United States","M"
624,4400,"Service","Jim Davis",63,"United States","Cockeysville","Staffing & recruiting","United States","M"
624,4400,"Construction & Engineering","Rafael Del Pino",64,"Spain","Madrid","Construction","Spain","M"
624,4400,"Healthcare","Peter Grogg",81,"Switzerland","Liestal","Biochemicals","Switzerland","M"
624,4400,"Fashion & Retail","Christian Haub",58,"Germany","Munich","Retail","Germany","M"
624,4400,"Real Estate","Mangal Prabhat Lodha",67,"India","Mumbai","Real estate","India","M"
624,4400,"Sports","Jeffrey Lurie & family",71,"United States","Wynnewood","Philadelphia Eagles","United States","M"
624,4400,"Finance & Investments","Joe Mansueto",66,"United States","Chicago","Investment research","United States","M"
624,4400,"Manufacturing","Qian Dongqi & family",65,"China","Suzhou","Home-cleaning robots","China","M"
624,4400,"Metals & Mining","Mikhail Shelkov",54,"Russia","Moscow","Titanium","Russia","M"
636,4300,"Telecom","Patrick Drahi",59,"Switzerland","Zermatt","Telecom","France","M"
636,4300,"Finance & Investments","Behdad Eghbali",46,"United States","Los Angeles","Private equity","United States","M"
636,4300,"Finance & Investments","Juan Carlos Escotet",63,"Spain","A Coruña","Banking","Venezuela","M"
636,4300,"Finance & Investments","Jose E. Feliciano",49,"United States","Los Angeles","Private equity","United States","M"
636,4300,"Healthcare","Hu Kaijun",61,"China","Beijing","Pharmaceuticals","China","M"
636,4300,"Logistics","Johnelle Hunt",91,"United States","Fayetteville","Trucking","United States","F"
636,4300,"Food & Beverage","Marian Ilitch",90,"United States","Bingham Farms","Little Caesars Pizza","United States","F"
636,4300,"Diversified","Daryl Katz",61,"Canada","Edmonton","Pharmacies","Canada","M"
636,4300,"Metals & Mining","Andrei Kozitsyn",62,"Russia","Verkhniaya Pyshma","Metals","Russia","M"
636,4300,"Finance & Investments","Timur Kulibaev",56,"Kazakhstan","Almaty","Banking","Kazakhstan","M"
636,4300,"Finance & Investments","Dinara Kulibaeva",55,"Kazakhstan","Almaty","Banking","Kazakhstan","F"
636,4300,"Food & Beverage","Gwendolyn Sontheim Meyer",61,"United States","Rancho Santa Fe","Cargill","United States","F"
636,4300,"Real Estate","Jay Paul",75,"United States","San Francisco","Real estate","United States","M"
636,4300,"Diversified","Pham Nhat Vuong",54,"Vietnam","Hanoi","Diversified","Vietnam","M"
636,4300,"Healthcare","Jon Stryker",64,"United States","New York","Medical equipment","United States","M"
636,4300,"Finance & Investments","Daniel Tsai",66,"Taiwan","Taipei","Finance","Taiwan","M"
636,4300,"Finance & Investments","Richard Tsai",65,"Taiwan","Taipei","Finance","Taiwan","M"
636,4300,"Technology","Frank Wang",42,"China","Shenzhen","Drones","China","M"
636,4300,"Manufacturing","Wang Junshi & family",74,"China","Ningbo","Solar inverters","China","M"
636,4300,"Technology","Wang Wenjing",58,"China","Beijing","Business software","China","M"
636,4300,"Finance & Investments","Herbert Wertheim",83,"United States","Coral Gables","Investments","United States","M"
659,4200,"Service","Shari Arison",65,"Israel","Tel Aviv","Carnival Cruises","Israel","F"
659,4200,"Finance & Investments","Pyotr Aven",68,"Latvia","Unknown","Oil, banking, telecom","Russia","M"
659,4200,"Real Estate","Chan Laiwa & family",82,"China","Beijing","Real estate","China","F"
659,4200,"Real Estate","Chen Hua",57,"China","Shenzhen","Real estate","China","M"
659,4200,"Finance & Investments","Thomas Hagen",87,"United States","Erie","Insurance","United States","M"
659,4200,"Finance & Investments","Rupert Johnson, Jr.",82,"United States","Burlingame","Franklin Templeton","United States","M"
659,4200,"Energy","Dewi Kam",72,"Indonesia","Jakarta","Coal","Indonesia","F"
659,4200,"Technology","Min Kao & family",74,"United States","Leawood","Navigation equipment","United States","M"
659,4200,"Finance & Investments","Marc Ladreit de Lacharriere",82,"France","Paris","Finance","France","M"
659,4200,"Technology","Eric Lefkofsky",53,"United States","Glencoe","Groupon, investments","United States","M"
659,4200,"Technology","Lin Bin",55,"China","Shenzhen","Smartphones","United States","M"
659,4200,"Finance & Investments","Lin Li",59,"China","Shenzhen","Investments","China","M"
659,4200,"Technology","Michael Moritz",68,"United States","San Francisco","Venture capital","United States","M"
659,4200,"Service","Jean (Gigi) Pritzker",60,"United States","Los Angeles","Hotels, investments","United States","F"
659,4200,"Automotive","E. Joe Shoen",73,"United States","Phoenix","U-Haul","United States","M"
659,4200,"Technology","Jeff Skoll",58,"United States","Los Angeles","EBay","United States","M"
659,4200,"Food & Beverage","Lynsi Snyder",40,"United States","Glendora","In-N-Out Burger","United States","F"
659,4200,"Fashion & Retail","Djoko Susanto",73,"Indonesia","Jakarta","Supermarkets","Indonesia","M"
659,4200,"Diversified","Tahir & family",71,"Indonesia","Jakarta","Diversified","Indonesia","M"
659,4200,"Finance & Investments","Peter Thiel",55,"United States","Los Angeles","Facebook, investments","United States","M"
679,4100,"Food & Beverage","Andrej Babis",68,"Czech Republic","Prague","Agriculture","Czech Republic","M"
679,4100,"Service","Danielle Bellon & family",83,"France","Paris","Food services","France","F"
679,4100,"Media & Entertainment","Hubert Burda",83,"Germany","Munich","Publishing","Germany","M"
679,4100,"Food & Beverage","Nick Caporella",87,"United States","Plantation","Beverages","United States","M"
679,4100,"Energy","John Catsimatidis",74,"United States","New York","Oil, real estate","United States","M"
679,4100,"Technology","Scott Cook",70,"United States","Woodside","Software","United States","M"
679,4100,"Food & Beverage","Luca Garavoglia",54,"Italy","Milan","Spirits","Italy","M"
679,4100,"Manufacturing","Antti Herlin",66,"Finland","Kirkkonummi","Elevators, escalators","Finland","M"
679,4100,"Manufacturing","Hong Jie",55,"China","Putian","Paint","China","M"
679,4100,"Service","Jeremy Jacobs, Sr. & family",83,"United States","East Aurora","Food service","United States","M"
679,4100,"Fashion & Retail","Igor Kesaev",56,"Russia","Moscow","Tobacco distribution, retail","Russia","M"
679,4100,"Food & Beverage","Mary Alice Dorrance Malone",73,"United States","Coatesville","Campbell Soup","United States","F"
679,4100,"Diversified","Joao Moreira Salles",61,"Brazil","Rio de Janeiro","Banking, minerals","Brazil","M"
679,4100,"Finance & Investments","Walther Moreira Salles Junior",66,"Brazil","Rio de Janeiro","Banking, minerals","Brazil","M"
679,4100,"Sports","Arturo Moreno",76,"United States","Phoenix","Billboards, Los Angeles Angels","United States","M"
679,4100,"Manufacturing","Peter Spuhler",63,"Switzerland","Weiningen","Train cars","Switzerland","M"
679,4100,"Real Estate","Donald Sterling",88,"United States","Beverly Hills","Real estate","United States","M"
679,4100,"Diversified","Kerry Stokes",82,"Australia","Perth","Construction equipment, media","Australia","M"
679,4100,"Technology","Ken Xie",60,"United States","Los Altos Hills","Cybersecurity","United States","M"
679,4100,"Healthcare","Liangzhi Xie & family",57,"China","Beijing","Biotech","China","M"
699,4000,"Energy","Sid Bass",80,"United States","Fort Worth","Oil, investments","United States","M"
699,4000,"Technology","Ben Chestnut",48,"United States","Atlanta","Email marketing","United States","M"
699,4000,"Food & Beverage","Elisabeth DeLuca & family",75,"United States","Unknown","Subway","United States","F"
699,4000,"Diversified","Guangchang Guo",56,"China","Shanghai","Conglomerate","China","M"
699,4000,"Manufacturing","Vinod Rai Gupta",77,"India","Delhi","Electrical equipment","India","F"
699,4000,"Sports","John Henry",73,"United States","Boca Raton","Sports","United States","M"
699,4000,"Technology","Travis Kalanick",46,"United States","Los Angeles","Uber","United States","M"
699,4000,"Manufacturing","Koon Poh Keong",61,"Malaysia","Petaling Jaya","Aluminum","Malaysia","M"
699,4000,"Technology","Dan Kurzius",51,"United States","Atlanta","Email marketing","United States","M"
699,4000,"Manufacturing","Paul Lee",65,"China","Yuxi","Battery separators","United States","M"
699,4000,"Technology","Tobi Lutke",42,"Canada","Ottawa","E-commerce","Canada","M"
699,4000,"Automotive","Gail Miller",79,"United States","Salt Lake City","Car dealerships","United States","F"
699,4000,"Telecom","Rajan Mittal",63,"India","Delhi","Telecom","India","M"
699,4000,"Telecom","Rakesh Mittal",67,"India","Delhi","Telecom","India","M"
699,4000,"Media & Entertainment","Isaac Perlmutter",80,"United States","Palm Beach","Marvel comics","United States","M"
699,4000,"Finance & Investments","Bernard Saul, II.",90,"United States","Chevy Chase","Banking, real estate","United States","M"
699,4000,"Telecom","Shaul Shani",68,"Italy","Milan","Telecom","Israel","M"
699,4000,"Media & Entertainment","Steven Spielberg",76,"United States","Pacific Palisades","Movies","United States","M"
699,4000,"Healthcare","Jerzy Starak",75,"Poland","Konstancin","Pharmaceuticals","Poland","M"
699,4000,"Energy","Torbjorn Tornqvist",69,"Switzerland","Geneva","Oil trading","Sweden","M"
699,4000,"Metals & Mining","Rufino Vigil Gonzalez",74,"Mexico","Mexico City","Steel","Mexico","M"
699,4000,"Diversified","Zhang Daocai",73,"China","Shaoxing","Valves","China","M"
721,3900,"Manufacturing","Juergen Blickle",76,"Germany","Bruchsal","Auto parts","Germany","M"
721,3900,"Food & Beverage","Austen Cargill, II.",72,"United States","Livingston","Cargill","United States","M"
721,3900,"Food & Beverage","James Cargill, II.",73,"United States","Birchwood","Cargill","United States","M"
721,3900,"Finance & Investments","Vanich Chaiyawan",91,"Thailand","Bangkok","Insurance, beverages","Thailand","M"
721,3900,"Finance & Investments","Chen Dongsheng",65,"China","Beijing","Insurance","China","M"
721,3900,"Automotive","Mong-Koo Chung",85,"South Korea","Seoul","Hyundai","South Korea","M"
721,3900,"Finance & Investments","Kenneth Dart",67,"Cayman Islands","George Town","Investments","Belize","M"
721,3900,"Fashion & Retail","Giuseppe De'Longhi & family",83,"Italy","Treviso","Coffee makers","Italy","M"
721,3900,"Healthcare","Guenther Fielmann & family",83,"Germany","Hamburg","Optometry","Germany","M"
721,3900,"Energy","W. Herbert Hunt",94,"United States","Dallas","Oil","United States","M"
721,3900,"Sports","James Irsay",63,"United States","Carmel","Indianapolis Colts","United States","M"
721,3900,"Diversified","Somurai Jaruphnit",74,"Thailand","Bangkok","Diversified","Thailand","F"
721,3900,"Food & Beverage","Marianne Liebmann",69,"United States","Bozeman","Cargill","United States","F"
721,3900,"Healthcare","Jorge Moll Filho & family",78,"Brazil","Rio de Janeiro","Hospitals","Brazil","M"
721,3900,"Diversified","Fernando Roberto Moreira Salles",76,"Brazil","Sao Paulo","Banking, minerals","Brazil","M"
721,3900,"Diversified","Pedro Moreira Salles",63,"Brazil","Sao Paulo","Banking, minerals","Brazil","M"
721,3900,"Gambling & Casinos","Gabe Newell",60,"United States","Seattle","Videogames","United States","M"
721,3900,"Fashion & Retail","Alfred Oetker",56,"Germany","Bielefeld","Consumer goods","Germany","M"
721,3900,"Fashion & Retail","Carl Ferdinand Oetker",50,"Germany","Bielefeld","Consumer goods","Germany","M"
721,3900,"Fashion & Retail","Julia Oetker",44,"Germany","Bielefeld","Consumer goods","Germany","F"
721,3900,"Manufacturing","Ruan Hongliang & family",62,"China","Jiaxing","Glass","China","M"
721,3900,"Finance & Investments","Mark Stevens",63,"United States","Steamboat Springs","Venture capital","United States","M"
721,3900,"Finance & Investments","Tsai Hong-tu",70,"Taiwan","Taipei","Finance","Taiwan","M"
721,3900,"Food & Beverage","Nusli Wadia",79,"India","Mumbai","Consumer goods","India","M"
721,3900,"Healthcare","Wu Yiling",73,"China","Shijiazhuang","Pharmaceuticals","China","M"
721,3900,"Manufacturing","Yu Renrong",57,"China","Ningbo","Semiconductors","China","M"
721,3900,"Healthcare","Zhu Baoguo & family",60,"China","Shenzhen","Pharmaceuticals","China","M"
748,3800,"Service","Rahul Bhatia",63,"India","Delhi","Aviation","India","M"
748,3800,"Construction & Engineering","Francesco Gaetano Caltagirone",80,"Italy","Rome","Cement, diversified","Italy","M"
748,3800,"Media & Entertainment","Barry Diller",81,"United States","New York","Online media","United States","M"
748,3800,"Finance & Investments","Wesley Edens",61,"United States","New York","Investments","United States","M"
748,3800,"Finance & Investments","Stephen Feinberg",63,"United States","New York","Private equity","United States","M"
748,3800,"Service","Rakesh Gangwal",69,"United States","Miami","Airline","United States","M"
748,3800,"Food & Beverage","Joseph Grendys",61,"United States","Chicago","Poultry processing","United States","M"
748,3800,"Media & Entertainment","Martha Ingram & family",87,"United States","Nashville","Book distribution, transportation","United States","F"
748,3800,"Automotive","Li Xiang",41,"China","Beijing","Electric vehicles","China","M"
748,3800,"Real Estate","H. Ross Perot, Jr.",64,"United States","Dallas","Real estate","United States","M"
748,3800,"Real Estate","Chandru Raheja",82,"India","Mumbai","Real estate","India","M"
748,3800,"Energy","Trevor Rees-Jones",71,"United States","Dallas","Oil & gas","United States","M"
748,3800,"Telecom","Yasumitsu Shigeta",58,"Japan","Tokyo","Mobile phone retailer","Japan","M"
748,3800,"Healthcare","Su Qingcan",54,"China","Xiamen","Healthcare","China","M"
748,3800,"Finance & Investments","Tsai Cheng-ta",73,"Taiwan","Taipei","Finance","Taiwan","M"
748,3800,"Service","Steven Udvar-Hazy",77,"United States","Westlake","Aircraft leasing","United States","M"
