"declaration_title","state","designated_area","year_declared"
"Severe Storm","MO","New Madrid (County)",2020
"Severe Storm","MO","Douglas (County)",2020
"Severe Storm","MO","Wright (County)",2020
"Severe Storm","MO","Henry (County)",2020
"Severe Storm","AR","Dallas (County)",2020
"Severe Storm","AR","Cleveland (County)",2020
"Severe Storm","AR","Desha (County)",2020
"Severe Storm","AR","Monroe (County)",2020
"Severe Storm","AR","Bradley (County)",2020
"Severe Storm","AR","Arkansas (County)",2020
"Severe Storm","AR","Lincoln (County)",2020
"Severe Storm","AR","Ouachita (County)",2020
"Severe Storm","AR","Phillips (County)",2020
"Severe Storm","AR","Drew (County)",2020
"Severe Storm","AR","Jefferson (County)",2020
"Severe Storm","AR","Grant (County)",2020
"Severe Storm","AL","Chilton (County)",2020
"Severe Storm","AL","Tallapoosa (County)",2020
"Severe Storm","AL","Pike (County)",2020
"Severe Storm","AL","Covington (County)",2020
"Severe Storm","AL","Barbour (County)",2020
"Severe Storm","AL","Crenshaw (County)",2020
"Severe Storm","AL","Coosa (County)",2020
"Severe Storm","AL","Henry (County)",2020
"Severe Storm","AL","Coffee (County)",2020
"Severe Storm","AL","Dale (County)",2020
"Severe Thunderstorms","AL","Walker (County)",2020
"Severe Thunderstorms","AL","Etowah (County)",2020
"Severe Thunderstorms","AL","Marshall (County)",2020
"Severe Thunderstorms","AL","Blount (County)",2020
"Severe Thunderstorms","AL","DeKalb (County)",2020
"Severe Thunderstorms","AL","Jackson (County)",2020
"Severe Thunderstorms","AL","Cullman (County)",2020
"Fire","WA","Douglas (County)",2020
"Fire","UT","Washington (County)",2020
"Fire","NV","Washoe (County)",2020
"Hurricane","HI","Honolulu (County)",2020
"Hurricane","HI","Maui (County)",2020
"Hurricane","HI","Kauai (County)",2020
"Hurricane","HI","Hawaii (County)",2020
"Hurricane","TX","Cameron (County)",2020
"Hurricane","TX","Fort Bend (County)",2020
"Hurricane","TX","Jim Hogg (County)",2020
"Hurricane","TX","Bee (County)",2020
"Hurricane","TX","Brazoria (County)",2020
"Hurricane","TX","Calhoun (County)",2020
"Hurricane","TX","Hidalgo (County)",2020
"Hurricane","TX","Galveston (County)",2020
"Hurricane","TX","Jackson (County)",2020
"Hurricane","TX","Goliad (County)",2020
"Hurricane","TX","Bexar (County)",2020
"Hurricane","TX","Duval (County)",2020
"Hurricane","TX","Harris (County)",2020
"Hurricane","TX","Aransas (County)",2020
"Hurricane","TX","Kenedy (County)",2020
"Hurricane","TX","Dimmit (County)",2020
"Hurricane","TX","Brooks (County)",2020
"Hurricane","TX","Jim Wells (County)",2020
"Hurricane","TX","La Salle (County)",2020
"Hurricane","TX","Live Oak (County)",2020
"Hurricane","TX","Victoria (County)",2020
"Hurricane","TX","Matagorda (County)",2020
"Hurricane","TX","Refugio (County)",2020
"Hurricane","TX","Starr (County)",2020
"Hurricane","TX","Nueces (County)",2020
"Hurricane","TX","Webb (County)",2020
"Hurricane","TX","Zapata (County)",2020
"Hurricane","TX","San Patricio (County)",2020
"Hurricane","TX","Willacy (County)",2020
"Hurricane","TX","Wharton (County)",2020
"Hurricane","TX","McMullen (County)",2020
"Hurricane","TX","Kleberg (County)",2020
"Fire","WA","Okanogan (County)",2020
"Hurricane","VI","St. Croix (Island) (County-equivalent)",2020
"Hurricane","VI","St. John (Island) (County-equivalent)",2020
"Hurricane","VI","St. Thomas (Island) (County-equivalent)",2020
"Hurricane","PR","Arroyo (Municipio)",2020
"Hurricane","PR","Ceiba (Municipio)",2020
"Hurricane","PR","Cidra (Municipio)",2020
"Hurricane","PR","Coamo (Municipio)",2020
"Hurricane","PR","Culebra (Municipio)",2020
"Hurricane","PR","Aguas Buenas (Municipio)",2020
"Hurricane","PR","Dorado (Municipio)",2020
"Hurricane","PR","Aguadilla (Municipio)",2020
"Hurricane","PR","Anasco (Municipio)",2020
"Hurricane","PR","Cabo Rojo (Municipio)",2020
"Hurricane","PR","Catano (Municipio)",2020
"Hurricane","PR","Aibonito (Municipio)",2020
"Hurricane","PR","Barranquitas (Municipio)",2020
"Hurricane","PR","Caguas (Municipio)",2020
"Hurricane","PR","Cayey (Municipio)",2020
"Hurricane","PR","Comerio (Municipio)",2020
"Hurricane","PR","Adjuntas (Municipio)",2020
"Hurricane","PR","Bayamon (Municipio)",2020
"Hurricane","PR","Canovanas (Municipio)",2020
"Hurricane","PR","Carolina (Municipio)",2020
"Hurricane","PR","Ciales (Municipio)",2020
"Hurricane","PR","Camuy (Municipio)",2020
"Hurricane","PR","Corozal (Municipio)",2020
"Hurricane","PR","Aguada (Municipio)",2020
"Hurricane","PR","Arecibo (Municipio)",2020
"Hurricane","PR","Barceloneta (Municipio)",2020
"Hurricane","PR","Fajardo (Municipio)",2020
"Hurricane","PR","Guaynabo (Municipio)",2020
"Hurricane","PR","Humacao (Municipio)",2020
"Hurricane","PR","Juncos (Municipio)",2020
"Hurricane","PR","Guanica (Municipio)",2020
"Hurricane","PR","Hatillo (Municipio)",2020
"Hurricane","PR","Juana Diaz (Municipio)",2020
"Hurricane","PR","Gurabo (Municipio)",2020
"Hurricane","PR","Guayanilla (Municipio)",2020
"Hurricane","PR","Hormigueros (Municipio)",2020
"Hurricane","PR","Jayuya (Municipio)",2020
"Hurricane","PR","Isabela (Municipio)",2020
"Hurricane","PR","Guayama (Municipio)",2020
"Hurricane","PR","Florida (Municipio)",2020
"Hurricane","PR","Lajas (Municipio)",2020
"Hurricane","PR","Lares (Municipio)",2020
"Hurricane","PR","Las Piedras (Municipio)",2020
"Hurricane","PR","Orocovis (Municipio)",2020
"Hurricane","PR","Ponce (Municipio)",2020
"Hurricane","PR","Patillas (Municipio)",2020
"Hurricane","PR","Morovis (Municipio)",2020
"Hurricane","PR","Naguabo (Municipio)",2020
"Hurricane","PR","Moca (Municipio)",2020
"Hurricane","PR","Penuelas (Municipio)",2020
"Hurricane","PR","Salinas (Municipio)",2020
"Hurricane","PR","Las Marias (Municipio)",2020
"Hurricane","PR","Maunabo (Municipio)",2020
"Hurricane","PR","San Juan (Municipio)",2020
"Hurricane","PR","Loiza (Municipio)",2020
"Hurricane","PR","Naranjito (Municipio)",2020
"Hurricane","PR","Rincon (Municipio)",2020
"Hurricane","PR","Rio Grande (Municipio)",2020
"Hurricane","PR","Luquillo (Municipio)",2020
"Hurricane","PR","Maricao (Municipio)",2020
"Hurricane","PR","Quebradillas (Municipio)",2020
"Hurricane","PR","Mayaguez (Municipio)",2020
"Hurricane","PR","San German (Municipio)",2020
"Hurricane","PR","San Sebastian (Municipio)",2020
"Hurricane","PR","San Lorenzo (Municipio)",2020
"Hurricane","PR","Manati (Municipio)",2020
"Hurricane","PR","Sabana Grande (Municipio)",2020
"Hurricane","PR","Utuado (Municipio)",2020
"Hurricane","PR","Vega Alta (Municipio)",2020
"Hurricane","PR","Trujillo Alto (Municipio)",2020
"Hurricane","PR","Santa Isabel (Municipio)",2020
"Hurricane","PR","Vega Baja (Municipio)",2020
"Hurricane","PR","Vieques (Municipio)",2020
"Hurricane","PR","Toa Baja (Municipio)",2020
"Hurricane","PR","Yabucoa (Municipio)",2020
"Hurricane","PR","Villalba (Municipio)",2020
"Hurricane","PR","Toa Alta (Municipio)",2020
"Hurricane","PR","Yauco (Municipio)",2020
"Hurricane","FL","Brevard (County)",2020
"Hurricane","FL","Broward (County)",2020
"Hurricane","FL","Clay (County)",2020
"Hurricane","FL","Duval (County)",2020
"Hurricane","FL","Flagler (County)",2020
"Hurricane","FL","Indian River (County)",2020
"Hurricane","FL","Martin (County)",2020
"Hurricane","FL","Miami-Dade (County)",2020
"Hurricane","FL","Orange (County)",2020
"Hurricane","FL","St. Lucie (County)",2020
"Hurricane","FL","Palm Beach (County)",2020
"Hurricane","FL","Okeechobee (County)",2020
"Hurricane","FL","Nassau (County)",2020
"Hurricane","FL","Osceola (County)",2020
"Hurricane","FL","St. Johns (County)",2020
"Hurricane","FL","Putnam (County)",2020
"Hurricane","FL","Monroe (County)",2020
"Hurricane","FL","Volusia (County)",2020
"Hurricane","FL","Seminole (County)",2020
"Hurricane","NC","Eastern Band of Cherokee Indians of North Carolina",2020
"Hurricane","NC","Alamance (County)",2020
"Hurricane","NC","Alleghany (County)",2020
"Hurricane","NC","Alexander (County)",2020
"Hurricane","NC","Anson (County)",2020
"Hurricane","NC","Ashe (County)",2020
"Hurricane","NC","Avery (County)",2020
"Hurricane","NC","Beaufort (County)",2020
"Hurricane","NC","Bertie (County)",2020
"Hurricane","NC","Bladen (County)",2020
"Hurricane","NC","Burke (County)",2020
"Hurricane","NC","Brunswick (County)",2020
"Hurricane","NC","Buncombe (County)",2020
"Hurricane","NC","Caldwell (County)",2020
"Hurricane","NC","Camden (County)",2020
"Hurricane","NC","Cabarrus (County)",2020
"Hurricane","NC","Carteret (County)",2020
"Hurricane","NC","Catawba (County)",2020
"Hurricane","NC","Craven (County)",2020
"Hurricane","NC","Caswell (County)",2020
"Hurricane","NC","Clay (County)",2020
"Hurricane","NC","Cleveland (County)",2020
"Hurricane","NC","Columbus (County)",2020
"Hurricane","NC","Chowan (County)",2020
"Hurricane","NC","Cherokee (County)",2020
"Hurricane","NC","Chatham (County)",2020
"Hurricane","NC","Cumberland (County)",2020
"Hurricane","NC","Gaston (County)",2020
"Hurricane","NC","Currituck (County)",2020
"Hurricane","NC","Duplin (County)",2020
"Hurricane","NC","Gates (County)",2020
"Hurricane","NC","Dare (County)",2020
"Hurricane","NC","Davie (County)",2020
"Hurricane","NC","Durham (County)",2020
"Hurricane","NC","Forsyth (County)",2020
"Hurricane","NC","Franklin (County)",2020
"Hurricane","NC","Davidson (County)",2020
"Hurricane","NC","Edgecombe (County)",2020
"Hurricane","NC","Graham (County)",2020
"Hurricane","NC","Granville (County)",2020
"Hurricane","NC","Greene (County)",2020
"Hurricane","NC","Hyde (County)",2020
"Hurricane","NC","Lee (County)",2020
"Hurricane","NC","Mecklenburg (County)",2020
"Hurricane","NC","Johnston (County)",2020
"Hurricane","NC","Martin (County)",2020
"Hurricane","NC","Iredell (County)",2020
"Hurricane","NC","Henderson (County)",2020
"Hurricane","NC","Jones (County)",2020
"Hurricane","NC","Mitchell (County)",2020
"Hurricane","NC","Harnett (County)",2020
"Hurricane","NC","Haywood (County)",2020
"Hurricane","NC","Hoke (County)",2020
"Hurricane","NC","Jackson (County)",2020
"Hurricane","NC","Lincoln (County)",2020
"Hurricane","NC","Hertford (County)",2020
"Hurricane","NC","Lenoir (County)",2020
"Hurricane","NC","Madison (County)",2020
"Hurricane","NC","Guilford (County)",2020
"Hurricane","NC","McDowell (County)",2020
"Hurricane","NC","Halifax (County)",2020
"Hurricane","NC","Pamlico (County)",2020
"Hurricane","NC","Onslow (County)",2020
"Hurricane","NC","Person (County)",2020
"Hurricane","NC","Polk (County)",2020
"Hurricane","NC","Perquimans (County)",2020
"Hurricane","NC","Orange (County)",2020
"Hurricane","NC","Northampton (County)",2020
"Hurricane","NC","Montgomery (County)",2020
"Hurricane","NC","Nash (County)",2020
"Hurricane","NC","Macon (County)",2020
"Hurricane","NC","Moore (County)",2020
"Hurricane","NC","Pasquotank (County)",2020
"Hurricane","NC","Pitt (County)",2020
"Hurricane","NC","Randolph (County)",2020
"Hurricane","NC","New Hanover (County)",2020
"Hurricane","NC","Richmond (County)",2020
"Hurricane","NC","Rockingham (County)",2020
"Hurricane","NC","Robeson (County)",2020
"Hurricane","NC","Rutherford (County)",2020
"Hurricane","NC","Pender (County)",2020
"Hurricane","NC","Rowan (County)",2020
"Hurricane","NC","Stanly (County)",2020
"Hurricane","NC","Scotland (County)",2020
"Hurricane","NC","Transylvania (County)",2020
"Hurricane","NC","Tyrrell (County)",2020
"Hurricane","NC","Sampson (County)",2020
"Hurricane","NC","Swain (County)",2020
"Hurricane","NC","Stokes (County)",2020
"Hurricane","NC","Surry (County)",2020
"Hurricane","NC","Union (County)",2020
"Hurricane","NC","Yancey (County)",2020
"Hurricane","NC","Wilson (County)",2020
"Hurricane","NC","Warren (County)",2020
"Hurricane","NC","Watauga (County)",2020
"Hurricane","NC","Wayne (County)",2020
"Hurricane","NC","Yadkin (County)",2020
"Hurricane","NC","Vance (County)",2020
"Hurricane","NC","Wilkes (County)",2020
"Hurricane","NC","Washington (County)",2020
"Hurricane","NC","Wake (County)",2020
"Fire","MT","Stillwater (County)",2020
"Fire","MT","Yellowstone (County)",2020
"Fire","CA","San Bernardino (County)",2020
"Fire","CA","Morongo Indian Reservation",2020
"Fire","CA","Riverside (County)",2020
"Fire","NV","Washoe (County)",2020
"Hurricane","CT","Mashantucket Pequot Indian Reservation",2020
"Hurricane","CT","Fairfield (County)(in PMSA 1160,1930,5760,8040)",2020
"Hurricane","CT","Middlesex (County)(in (P)MSA 3280,5020,5480)",2020
"Hurricane","CT","New London (County)(in (P)MSA 3280,5520)",2020
"Hurricane","CT","Mohegan Trust Lands",2020
"Hurricane","CT","New Haven (County)(in (P)MSA 1160,5480,8880)",2020
"Hurricane","CT","Windham (County)",2020
"Hurricane","CT","Tolland (County)",2020
"Hurricane","CT","Hartford (County)(in PMSA 1170,3280,5440)",2020
"Hurricane","CT","Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",2020
"Fire","OR","Wasco (County)",2020
"Fire","NV","Washoe (County)",2020
"Fire","CA","Monterey (County)",2020
"Severe Storm","IA","Grundy (County)",2020
"Severe Storm","IA","Cedar (County)",2020
"Severe Storm","IA","Clinton (County)",2020
"Severe Storm","IA","Linn (County)",2020
"Severe Storm","IA","Scott (County)",2020
"Severe Storm","IA","Muscatine (County)",2020
"Severe Storm","IA","Washington (County)",2020
"Severe Storm","IA","Jackson (County)",2020
"Severe Storm","IA","Jones (County)",2020
"Severe Storm","IA","Greene (County)",2020
"Severe Storm","IA","Marshall (County)",2020
"Severe Storm","IA","Tama (County)",2020
"Severe Storm","IA","Polk (County)",2020
"Severe Storm","IA","Hardin (County)",2020
"Severe Storm","IA","Johnson (County)",2020
"Severe Storm","IA","Poweshiek (County)",2020
"Severe Storm","IA","Guthrie (County)",2020
"Severe Storm","IA","Iowa (County)",2020
"Severe Storm","IA","Jasper (County)",2020
"Severe Storm","IA","Benton (County)",2020
"Severe Storm","IA","Dallas (County)",2020
"Severe Storm","IA","Boone (County)",2020
"Severe Storm","IA","Story (County)",2020
"Fire","WA","Yakima (County)",2020
"Fire","WA","Yakama Reservation",2020
"Fire","CA","Napa (County)",2020
"Fire","CA","Solano (County)",2020
"Fire","CA","Sonoma (County)",2020
"Fire","CA","Lake (County)",2020
"Fire","CA","Yolo (County)",2020
"Fire","CA","Nevada (County)",2020
"Fire","CA","Monterey (County)",2020
"Fire","CO","Eagle (County)",2020
"Fire","CO","Garfield (County)",2020
"Fire","CO","Mesa (County)",2020
"Fire","CO","Garfield (County)",2020
"Fire","CA","San Mateo (County)",2020
"Fire","CA","Santa Cruz (County)",2020
"Fire","WA","Okanogan (County)",2020
"Fire","CA","Santa Clara (County)",2020
"Fire","CA","Stanislaus (County)",2020
"Fire","CA","Sonoma (County)",2020
"Fire","CA","Nevada (County)",2020
"Fire","CA","Yuba (County)",2020
"Fire","CA","Santa Cruz (County)",2020
"Fire","CA","Napa (County)",2020
"Fire","CA","Trinity (County)",2020
"Fire","CA","Yolo (County)",2020
"Fire","CA","Sierra (County)",2020
"Fire","CA","Lake (County)",2020
"Fire","CA","Tulare (County)",2020
"Fire","CA","Santa Clara (County)",2020
"Fire","CA","Monterey (County)",2020
"Fire","CA","Plumas (County)",2020
"Fire","CA","Tuolumne (County)",2020
"Fire","CA","Mendocino (County)",2020
"Fire","CA","Stanislaus (County)",2020
"Fire","CA","Solano (County)",2020
"Fire","CA","San Mateo (County)",2020
"Fire","CA","Lassen (County)",2020
"Fire","CA","Butte (County)",2020
"Hurricane","PR","Aguada (Municipio)",2020
"Hurricane","PR","Guayama (Municipio)",2020
"Hurricane","PR","Anasco (Municipio)",2020
"Hurricane","PR","Guanica (Municipio)",2020
"Hurricane","PR","Aibonito (Municipio)",2020
"Hurricane","PR","Cabo Rojo (Municipio)",2020
"Hurricane","PR","Guayanilla (Municipio)",2020
"Hurricane","PR","Barceloneta (Municipio)",2020
"Hurricane","PR","Arroyo (Municipio)",2020
"Hurricane","PR","Canovanas (Municipio)",2020
"Hurricane","PR","Hatillo (Municipio)",2020
"Hurricane","PR","Cayey (Municipio)",2020
"Hurricane","PR","Dorado (Municipio)",2020
"Hurricane","PR","Gurabo (Municipio)",2020
"Hurricane","PR","Barranquitas (Municipio)",2020
"Hurricane","PR","Camuy (Municipio)",2020
"Hurricane","PR","Corozal (Municipio)",2020
"Hurricane","PR","Florida (Municipio)",2020
"Hurricane","PR","Aguas Buenas (Municipio)",2020
"Hurricane","PR","Bayamon (Municipio)",2020
"Hurricane","PR","Carolina (Municipio)",2020
"Hurricane","PR","Catano (Municipio)",2020
"Hurricane","PR","Ciales (Municipio)",2020
"Hurricane","PR","Comerio (Municipio)",2020
"Hurricane","PR","Culebra (Municipio)",2020
"Hurricane","PR","Aguadilla (Municipio)",2020
"Hurricane","PR","Caguas (Municipio)",2020
"Hurricane","PR","Guaynabo (Municipio)",2020
"Hurricane","PR","Adjuntas (Municipio)",2020
"Hurricane","PR","Arecibo (Municipio)",2020
"Hurricane","PR","Cidra (Municipio)",2020
"Hurricane","PR","Coamo (Municipio)",2020
"Hurricane","PR","Ceiba (Municipio)",2020
"Hurricane","PR","Fajardo (Municipio)",2020
"Hurricane","PR","Jayuya (Municipio)",2020
"Hurricane","PR","Juana Diaz (Municipio)",2020
"Hurricane","PR","Hormigueros (Municipio)",2020
"Hurricane","PR","Humacao (Municipio)",2020
"Hurricane","PR","Isabela (Municipio)",2020
"Hurricane","PR","Lajas (Municipio)",2020
"Hurricane","PR","Lares (Municipio)",2020
"Hurricane","PR","Juncos (Municipio)",2020
"Hurricane","PR","Luquillo (Municipio)",2020
"Hurricane","PR","Maricao (Municipio)",2020
"Hurricane","PR","Maunabo (Municipio)",2020
"Hurricane","PR","Morovis (Municipio)",2020
"Hurricane","PR","Mayaguez (Municipio)",2020
"Hurricane","PR","Las Piedras (Municipio)",2020
"Hurricane","PR","Naguabo (Municipio)",2020
"Hurricane","PR","Manati (Municipio)",2020
"Hurricane","PR","Las Marias (Municipio)",2020
"Hurricane","PR","Loiza (Municipio)",2020
"Hurricane","PR","Moca (Municipio)",2020
"Hurricane","PR","Orocovis (Municipio)",2020
"Hurricane","PR","Naranjito (Municipio)",2020
"Hurricane","PR","Rincon (Municipio)",2020
"Hurricane","PR","Ponce (Municipio)",2020
"Hurricane","PR","Salinas (Municipio)",2020
"Hurricane","PR","Patillas (Municipio)",2020
"Hurricane","PR","Rio Grande (Municipio)",2020
"Hurricane","PR","Quebradillas (Municipio)",2020
"Hurricane","PR","Penuelas (Municipio)",2020
"Hurricane","PR","Sabana Grande (Municipio)",2020
"Hurricane","PR","San German (Municipio)",2020
"Hurricane","PR","San Juan (Municipio)",2020
"Hurricane","PR","San Sebastian (Municipio)",2020
"Hurricane","PR","Santa Isabel (Municipio)",2020
"Hurricane","PR","San Lorenzo (Municipio)",2020
"Hurricane","PR","Toa Baja (Municipio)",2020
"Hurricane","PR","Toa Alta (Municipio)",2020
"Hurricane","PR","Utuado (Municipio)",2020
"Hurricane","PR","Villalba (Municipio)",2020
"Hurricane","PR","Vega Baja (Municipio)",2020
"Hurricane","PR","Trujillo Alto (Municipio)",2020
"Hurricane","PR","Vieques (Municipio)",2020
"Hurricane","PR","Yauco (Municipio)",2020
"Hurricane","PR","Yabucoa (Municipio)",2020
"Hurricane","PR","Vega Alta (Municipio)",2020
"Fire","CA","Lassen (County)",2020
"Severe Storm","LA","Allen (Parish)",2020
"Severe Storm","LA","Acadia (Parish)",2020
"Severe Storm","LA","Ascension (Parish)",2020
"Severe Storm","LA","Avoyelles (Parish)",2020
"Severe Storm","LA","Beauregard (Parish)",2020
"Severe Storm","LA","Calcasieu (Parish)",2020
"Severe Storm","LA","Cameron (Parish)",2020
"Severe Storm","LA","East Baton Rouge (Parish)",2020
"Severe Storm","LA","East Carroll (Parish)",2020
"Severe Storm","LA","Bossier (Parish)",2020
"Severe Storm","LA","Caddo (Parish)",2020
"Severe Storm","LA","Assumption (Parish)",2020
"Severe Storm","LA","Catahoula (Parish)",2020
"Severe Storm","LA","De Soto (Parish)",2020
"Severe Storm","LA","East Feliciana (Parish)",2020
"Severe Storm","LA","Bienville (Parish)",2020
"Severe Storm","LA","Caldwell (Parish)",2020
"Severe Storm","LA","Claiborne (Parish)",2020
"Severe Storm","LA","Concordia (Parish)",2020
"Severe Storm","LA","Evangeline (Parish)",2020
"Severe Storm","LA","Grant (Parish)",2020
"Severe Storm","LA","La Salle (Parish)",2020
"Severe Storm","LA","Iberville (Parish)",2020
"Severe Storm","LA","Jackson (Parish)",2020
"Severe Storm","LA","Jefferson (Parish)",2020
"Severe Storm","LA","Iberia (Parish)",2020
"Severe Storm","LA","Jefferson Davis (Parish)",2020
"Severe Storm","LA","Lafayette (Parish)",2020
"Severe Storm","LA","Lafourche (Parish)",2020
"Severe Storm","LA","Franklin (Parish)",2020
"Severe Storm","LA","Lincoln (Parish)",2020
"Severe Storm","LA","Natchitoches (Parish)",2020
"Severe Storm","LA","Orleans (Parish)",2020
"Severe Storm","LA","Plaquemines (Parish)",2020
"Severe Storm","LA","St. Helena (Parish)",2020
"Severe Storm","LA","St. Martin (Parish)",2020
"Severe Storm","LA","St. Tammany (Parish)",2020
"Severe Storm","LA","Vernon (Parish)",2020
"Severe Storm","LA","Pointe Coupee (Parish)",2020
"Severe Storm","LA","Rapides (Parish)",2020
"Severe Storm","LA","St. John the Baptist (Parish)",2020
"Severe Storm","LA","Sabine (Parish)",2020
"Severe Storm","LA","Webster (Parish)",2020
"Severe Storm","LA","Livingston (Parish)",2020
"Severe Storm","LA","St. James (Parish)",2020
"Severe Storm","LA","Vermilion (Parish)",2020
"Severe Storm","LA","Red River (Parish)",2020
"Severe Storm","LA","St. Charles (Parish)",2020
"Severe Storm","LA","Tangipahoa (Parish)",2020
"Severe Storm","LA","West Feliciana (Parish)",2020
"Severe Storm","LA","Morehouse (Parish)",2020
"Severe Storm","LA","St. Bernard (Parish)",2020
"Severe Storm","LA","St. Mary (Parish)",2020
"Severe Storm","LA","Madison (Parish)",2020
"Severe Storm","LA","Richland (Parish)",2020
"Severe Storm","LA","Tensas (Parish)",2020
"Severe Storm","LA","Union (Parish)",2020
"Severe Storm","LA","Ouachita (Parish)",2020
"Severe Storm","LA","St. Landry (Parish)",2020
"Severe Storm","LA","West Baton Rouge (Parish)",2020
"Severe Storm","LA","Terrebonne (Parish)",2020
"Severe Storm","LA","Washington (Parish)",2020
"Severe Storm","LA","Winn (Parish)",2020
"Severe Storm","LA","West Carroll (Parish)",2020
"Hurricane","MS","Adams (County)",2020
"Hurricane","MS","Amite (County)",2020
"Hurricane","MS","Franklin (County)",2020
"Hurricane","MS","Lamar (County)",2020
"Hurricane","MS","Harrison (County)",2020
"Hurricane","MS","Jefferson Davis (County)",2020
"Hurricane","MS","Jackson (County)",2020
"Hurricane","MS","Lawrence (County)",2020
"Hurricane","MS","Wayne (County)",2020
"Hurricane","MS","Hancock (County)",2020
"Hurricane","MS","Pike (County)",2020
"Hurricane","MS","Stone (County)",2020
"Hurricane","MS","Marion (County)",2020
"Hurricane","MS","Walthall (County)",2020
"Hurricane","MS","Pearl River (County)",2020
"Hurricane","MS","Forrest (County)",2020
"Hurricane","MS","Greene (County)",2020
"Hurricane","MS","Perry (County)",2020
"Hurricane","MS","George (County)",2020
"Hurricane","MS","Covington (County)",2020
"Hurricane","MS","Wilkinson (County)",2020
"Hurricane","MS","Jefferson (County)",2020
"Hurricane","MS","Jones (County)",2020
"Hurricane","MS","Lincoln (County)",2020
"Severe Storm","TX","Aransas (County)",2020
"Severe Storm","TX","Grimes (County)",2020
"Severe Storm","TX","Harrison (County)",2020
"Severe Storm","TX","Leon (County)",2020
"Severe Storm","TX","Galveston (County)",2020
"Severe Storm","TX","Jackson (County)",2020
"Severe Storm","TX","Camp (County)",2020
"Severe Storm","TX","Cass (County)",2020
"Severe Storm","TX","Ellis (County)",2020
"Severe Storm","TX","Houston (County)",2020
"Severe Storm","TX","Dallas (County)",2020
"Severe Storm","TX","Fort Bend (County)",2020
"Severe Storm","TX","Jefferson (County)",2020
"Severe Storm","TX","Marion (County)",2020
"Severe Storm","TX","Chambers (County)",2020
"Severe Storm","TX","Cherokee (County)",2020
"Severe Storm","TX","Franklin (County)",2020
"Severe Storm","TX","Hardin (County)",2020
"Severe Storm","TX","Anderson (County)",2020
"Severe Storm","TX","Bowie (County)",2020
"Severe Storm","TX","Cameron (County)",2020
"Severe Storm","TX","Gregg (County)",2020
"Severe Storm","TX","Jasper (County)",2020
"Severe Storm","TX","Kenedy (County)",2020
"Severe Storm","TX","Liberty (County)",2020
"Severe Storm","TX","Angelina (County)",2020
"Severe Storm","TX","Bexar (County)",2020
"Severe Storm","TX","Brazoria (County)",2020
"Severe Storm","TX","Harris (County)",2020
"Severe Storm","TX","Calhoun (County)",2020
"Severe Storm","TX","Montgomery (County)",2020
"Severe Storm","TX","Orange (County)",2020
"Severe Storm","TX","Red River (County)",2020
"Severe Storm","TX","Newton (County)",2020
"Severe Storm","TX","Rusk (County)",2020
"Severe Storm","TX","San Patricio (County)",2020
"Severe Storm","TX","Shelby (County)",2020
"Severe Storm","TX","Morris (County)",2020
"Severe Storm","TX","Panola (County)",2020
"Severe Storm","TX","Smith (County)",2020
"Severe Storm","TX","Sabine (County)",2020
"Severe Storm","TX","Madison (County)",2020
"Severe Storm","TX","Nueces (County)",2020
"Severe Storm","TX","Kleberg (County)",2020
"Severe Storm","TX","Nacogdoches (County)",2020
"Severe Storm","TX","Polk (County)",2020
"Severe Storm","TX","Refugio (County)",2020
"Severe Storm","TX","Matagorda (County)",2020
"Severe Storm","TX","San Jacinto (County)",2020
"Severe Storm","TX","Travis (County)",2020
"Severe Storm","TX","Willacy (County)",2020
"Severe Storm","TX","San Augustine (County)",2020
"Severe Storm","TX","Wharton (County)",2020
"Severe Storm","TX","Trinity (County)",2020
"Severe Storm","TX","Wood (County)",2020
"Severe Storm","TX","Victoria (County)",2020
"Severe Storm","TX","Upshur (County)",2020
"Severe Storm","TX","Walker (County)",2020
"Severe Storm","TX","Waller (County)",2020
"Severe Storm","TX","Titus (County)",2020
"Severe Storm","TX","Tyler (County)",2020
"Severe Storm","TX","Tarrant (County)",2020
"Fire","AZ","Gila (County)",2020
"Fire","AZ","San Carlos Indian Reservation",2020
"Hurricane","AR","Chicot (County)",2020
"Hurricane","AR","Arkansas (County)",2020
"Hurricane","AR","Clay (County)",2020
"Hurricane","AR","Jefferson (County)",2020
"Hurricane","AR","Cross (County)",2020
"Hurricane","AR","Craighead (County)",2020
"Hurricane","AR","Benton (County)",2020
"Hurricane","AR","Crittenden (County)",2020
"Hurricane","AR","Calhoun (County)",2020
"Hurricane","AR","Ashley (County)",2020
"Hurricane","AR","Baxter (County)",2020
"Hurricane","AR","Grant (County)",2020
"Hurricane","AR","Crawford (County)",2020
"Hurricane","AR","Independence (County)",2020
"Hurricane","AR","Izard (County)",2020
"Hurricane","AR","Desha (County)",2020
"Hurricane","AR","Conway (County)",2020
"Hurricane","AR","Franklin (County)",2020
"Hurricane","AR","Boone (County)",2020
"Hurricane","AR","Garland (County)",2020
"Hurricane","AR","Clark (County)",2020
"Hurricane","AR","Cleburne (County)",2020
"Hurricane","AR","Bradley (County)",2020
"Hurricane","AR","Carroll (County)",2020
"Hurricane","AR","Drew (County)",2020
"Hurricane","AR","Columbia (County)",2020
"Hurricane","AR","Faulkner (County)",2020
"Hurricane","AR","Dallas (County)",2020
"Hurricane","AR","Fulton (County)",2020
