"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Paranthropus Robustus",1.96,"Africa","south","South Africa","jungle",514.91,123.75,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Naledi",0.59,"Africa","south","South Africa","jungle",220.22,132.22,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Antecesor",0.99,"Europa","west","Spain","savannah",1008.18,175.62,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Antecesor",0.88,"Europa","west","Spain","savannah",1005.82,174.59,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Paranthropus Boisei",2.13,"Africa","oriental","Ethiopia","forest",350.06,107.23,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Orrorin tugenencin",6.43,"Africa","oriental","Kenya","forest",39.98,128.91,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Bahrelghazali",4.03,"Africa","central","Republic of Chad","mixed",181.58,112.65,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Neanderthalensis
",0.54,"Europa","central","Germany","cold forest",1235.56,155.4,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Antecesor",1.66,"Europa","west","Spain","savannah",897.12,179.09,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Paranthropus Aethiopicus",2.74,"Africa","oriental","Kenya","forest-savanna",315.63,109.49,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Sahelanthropus tchadensis",7.59,"Africa","central","Republic of Chad","mixed",173.99,96.3,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Afarensis",4.51,"Africa","oriental","Kenya","mixed",430.23,124.94,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Rudolfensis",2.38,"Africa","oriental","Kenya","savannah",579.1,127.92,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"hominino Sahelanthropus tchadensis",7.09,"Africa","central","Republic of Chad","mixed",249.2,80.2,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Bahrelghazali",3.22,"Africa","central","Republic of Chad","mixed",326.72,127.87,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"hominino Sahelanthropus tchadensis",7.28,"Africa","central","Republic of Chad","mixed",45.61,97.6,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Rodhesiensis",1.1,"Africa","oriental","Ethiopia","savannah",1052.96,159.12,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Paranthropus Aethiopicus",2.83,"Africa","oriental","Kenya","forest-savanna",573.31,114.25,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Erectus",1.11,"Asia ","west","Indonesia","savannah",1092,152.72,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.35,"Africa","oriental","Kenya","forest-gallery",477.15,119.76,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Rudolfensis",2.43,"Africa","oriental","Kenya","savannah",830.09,121.93,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Naledi",0.87,"Africa","south","South Africa","jungle",261.8,126.73,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Orrorin tugenencin",5.85,"Africa","oriental","Kenya","forest",270.81,124.04,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Sapiens",0.58,"Africa","oriental","Kenya","savannah",1198.17,179.99,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Australopithecus Afarensis",4.41,"Africa","oriental","Kenya","mixed",393.98,139.08,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Sapiens",0.93,"Africa","oriental","Kenya","savannah",1264.28,171.39,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Heidelbergensis",0.74,"Europa","central","Germany","cold forest",1328.87,165,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Garhi",2.2,"Africa","oriental","Ethiopia","mixed",341.01,111.97,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Ergaster",1.5,"Africa","oriental","Kenya","savannah",906.37,165.28,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Erectus",1.46,"Asia ","west","Indonesia","savannah",1065.8,161.44,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Ergaster",1.89,"Africa","oriental","Kenya","savannah",777.51,168.37,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.05,"Africa","oriental","Kenya","forest-gallery",317.25,124.99,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Ergaster",1.4,"Africa","oriental","Kenya","savannah",809.43,150.5,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.11,"Africa","south","South Africa","jungle",231.97,139.88,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Garhi",2.53,"Africa","oriental","Ethiopia","mixed",413.25,124.42,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Erectus",1.8,"Asia ","west","Indonesia","savannah",1029.33,153.58,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Robustus",1.84,"Africa","south","South Africa","jungle",585.6,123.06,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Aethiopicus",3.21,"Africa","oriental","Kenya","forest-savanna",328.16,109.43,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Aethiopicus",3.25,"Africa","oriental","Kenya","forest-savanna",397.07,114.24,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Neanderthalensis
",0.92,"Europa","central","Germany","cold forest",1015.67,151.27,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Heidelbergensis",1.19,"Europa","central","Germany","cold forest",1222.7,180.91,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Ardipithecus ramidus / kabadda",4.65,"Africa","oriental","Ethiopia","mixed",316.56,106.83,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"hominino Sahelanthropus tchadensis",7.57,"Africa","central","Republic of Chad","mixed",184.16,86.03,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Antecesor",1.15,"Europa","west","Spain","savannah",938.22,172.41,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Garhi",2.96,"Africa","oriental","Ethiopia","mixed",250.89,119.81,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Rudolfensis",2.25,"Africa","oriental","Kenya","savannah",687.07,130.1,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Naledi",0.33,"Africa","south","South Africa","jungle",208.43,138.51,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Neanderthalensis
",0.29,"Europa","central","Germany","cold forest",1202.37,165.27,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Naledi",0.54,"Africa","south","South Africa","jungle",213.51,130.51,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",7.44,"Africa","central","Republic of Chad","mixed",15.5,85.41,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4.44,"Africa","oriental","Ethiopia","mixed",173.2,104.01,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Afarensis",3.78,"Africa","oriental","Kenya","mixed",276.33,126.23,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Paranthropus Robustus",2.14,"Africa","south","South Africa","jungle",504.18,119.39,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Robustus",1.84,"Africa","south","South Africa","jungle",366.55,110.85,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Ergaster",2.15,"Africa","oriental","Kenya","savannah",942.36,168.05,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Africanus",3.98,"Africa","south","South Africa","forest-gallery",617.17,111.34,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Australopithecus Garhi",2.25,"Africa","oriental","Ethiopia","mixed",311.24,128.65,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Naledi",0.45,"Africa","south","South Africa","jungle",414.4,126.65,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Habilis",3.19,"Africa","oriental","Ethiopia","savannah",723.1,133.06,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Paranthropus Boisei",2.31,"Africa","oriental","Ethiopia","forest",528.58,112.28,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Erectus",1.72,"Asia ","west","Indonesia","savannah",1181.57,155.42,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Antecesor",0.77,"Europa","west","Spain","savannah",1051.45,171.57,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Rodhesiensis",0.66,"Africa","oriental","Ethiopia","savannah",1196.88,147.31,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Ergaster",2.14,"Africa","oriental","Kenya","savannah",812.4,150.65,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Sapiens",0.29,"Africa","oriental","Kenya","savannah",1152.58,171.38,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Paranthropus Aethiopicus",2.59,"Africa","oriental","Kenya","forest-savanna",311.91,119.8,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Afarensis",3.83,"Africa","oriental","Kenya","mixed",252.44,122.58,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Heidelbergensis",0.55,"Europa","central","Germany","cold forest",1198.06,184.27,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Anamensis",4.46,"Africa","oriental","Kenya","forest-gallery",267.54,121.93,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Australopithecus Anamensis",4.09,"Africa","oriental","Kenya","forest-gallery",416.82,123.36,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Rodhesiensis",0.41,"Africa","oriental","Ethiopia","savannah",1075.25,145.04,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"hominino Sahelanthropus tchadensis",7.02,"Africa","central","Republic of Chad","mixed",96.98,92.18,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Antecesor",1.64,"Europa","west","Spain","savannah",1160.66,175.44,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Habilis",2.29,"Africa","oriental","Ethiopia","savannah",798.62,121.01,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Naledi",0.87,"Africa","south","South Africa","jungle",233.16,136.86,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Georgicus",1.87,"Asia ","west","Georgia","savannah",747.43,146.15,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Bahrelghazali",3.6,"Africa","central","Republic of Chad","mixed",424.99,117.04,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Neanderthalensis
",0.3,"Europa","central","Germany","cold forest",1000.77,151.14,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Afarensis",4.31,"Africa","oriental","Kenya","mixed",239.76,134.7,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Naledi",0.32,"Africa","south","South Africa","jungle",498.06,137.97,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Naledi",0.63,"Africa","south","South Africa","jungle",339.87,134.65,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rudolfensis",3.02,"Africa","oriental","Kenya","savannah",834.97,138.23,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Anamensis",4.13,"Africa","oriental","Kenya","forest-gallery",245.97,119.93,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.6,"Africa","oriental","Kenya","forest-savanna",315.67,106.24,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rodhesiensis",1.25,"Africa","oriental","Ethiopia","savannah",967.41,155.19,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Anamensis",4.32,"Africa","oriental","Kenya","forest-gallery",342.46,128.56,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Floresiensis",0.91,"Asia ","oriental","Indonesia","peninsular",325.78,108.65,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Neanderthalensis
",0.02,"Europa","central","Germany","cold forest",1002.33,150.36,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Antecesor",1.12,"Europa","west","Spain","savannah",943.83,173.01,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Bahrelghazali",3.48,"Africa","central","Republic of Chad","mixed",338.42,124.77,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"hominino Orrorin tugenencin",5.75,"Africa","oriental","Kenya","forest",37.4,115.34,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Ergaster",1.85,"Africa","oriental","Kenya","savannah",933.42,165.81,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Rodhesiensis",1.19,"Africa","oriental","Ethiopia","savannah",1095.19,150.36,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Floresiensis",0.77,"Asia ","oriental","Indonesia","peninsular",371.12,100.95,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Bahrelghazali",4.04,"Africa","central","Republic of Chad","mixed",158.23,113.69,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Rodhesiensis",0.7,"Africa","oriental","Ethiopia","savannah",1039.04,154.3,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"hominino Orrorin tugenencin",6.38,"Africa","oriental","Kenya","forest",10.64,120.8,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Georgicus",2.21,"Asia ","west","Georgia","savannah",832.55,147.21,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.16,"Africa","oriental","Kenya","forest-gallery",363.96,122.71,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.86,"Africa","oriental","Kenya","forest-savanna",330.45,105.59,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Africanus",4.03,"Africa","south","South Africa","forest-gallery",689.31,112.55,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Georgicus",2.35,"Asia ","west","Georgia","savannah",614.97,142.55,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Aethiopicus",2.99,"Africa","oriental","Kenya","forest-savanna",311.26,108.33,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Heidelbergensis",0.32,"Europa","central","Germany","cold forest",1305.92,177.24,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Neanderthalensis
",0.09,"Europa","central","Germany","cold forest",1163.95,154.68,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Orrorin tugenencin",6.19,"Africa","oriental","Kenya","forest",85,112.6,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Antecesor",1.64,"Europa","west","Spain","savannah",1125.93,160.81,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Afarensis",4.05,"Africa","oriental","Kenya","mixed",269.03,136.81,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Rodhesiensis",0.52,"Africa","oriental","Ethiopia","savannah",1136.15,155.08,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Heidelbergensis",1.05,"Europa","central","Germany","cold forest",1166.11,172.86,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Georgicus",2.39,"Asia ","west","Georgia","savannah",627.68,147.09,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Sediba",1.78,"Africa","south","South Africa","mixed",429.54,104.32,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Australopithecus Afarensis",4.25,"Africa","oriental","Kenya","mixed",263.21,138.97,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Anamensis",4.16,"Africa","oriental","Kenya","forest-gallery",394.2,114.25,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Australopithecus Africanus",3.22,"Africa","south","South Africa","forest-gallery",641.84,111.37,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Australopithecus Africanus",3.85,"Africa","south","South Africa","forest-gallery",579.19,103.85,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"hominino Sahelanthropus tchadensis",7.03,"Africa","central","Republic of Chad","mixed",150.83,82.67,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Neanderthalensis
",0.42,"Europa","central","Germany","cold forest",1013.94,168.26,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Heidelbergensis",1.19,"Europa","central","Germany","cold forest",1409.16,180.22,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Anamensis",3.98,"Africa","oriental","Kenya","forest-gallery",382.51,128.95,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
