numYears,numRaters,numCourses,pepper,easiness,raterInterest,quality,deptBiology,deptBusiness,deptChemistry,deptCommunication,deptCS,deptEducation,deptEnglish,deptGeology,deptHistory,deptLanguages,deptMath,deptMusic,deptPhilosophy,deptPhysics,deptPolySci,deptPsychology,deptReligion,deptSocialScience,deptSociology
6,40,6,No,1.9,3.38,0.3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,13,3,No,2.23,4,1.3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,67,4,No,1.82,3.61,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,19,5,No,2.16,3,2.6,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
10,17,2,No,2.82,2.88,2.3,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,22,7,No,3.09,3.36,3.5,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11,16,3,No,3.38,2.81,2.4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6,35,6,No,3.38,2.81,2.4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,38,5,No,2.58,3.2,3.1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,67,6,No,4.16,2.65,3.7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,35,4,No,1.97,3.65,0.8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,32,5,No,4.41,2.28,3.2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,58,4,No,2.22,3.81,1.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,21,3,No,3.1,3.35,3.6,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
10,12,4,No,1.75,3,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,45,7,No,2.53,3.33,3.1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
3,14,2,No,3.07,3,3.5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
9,41,5,No,3,3.03,1.8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,10,3,No,2.4,2.7,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,30,3,No,2.93,3.41,3.3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,25,12,No,2.48,4.12,4.5,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,37,7,No,3.05,2.34,1.3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,23,4,No,2.7,2.33,0.6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,65,3,No,2.11,2.12,0.1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,54,7,No,2.89,3.08,4.3,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
8,41,5,No,2.63,3.34,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,13,6,No,3.85,3.08,4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,52,6,No,3.69,2.79,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
4,33,8,Yes,3.52,3.3,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
8,20,6,No,3.2,2.95,3.1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2,13,2,No,3.77,4.15,4.8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,52,5,No,2.25,2.29,1.1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6,20,3,No,2.3,3.05,1.3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,39,3,No,2.15,3.62,1.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,53,8,No,3.53,2.98,1.7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,49,7,No,3.59,2.95,1.2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,49,6,No,3.2,3.89,3.8,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11,57,7,No,3.02,2.35,0.5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,17,5,No,2.71,4.09,3.7,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,30,10,No,2.2,3.72,1.1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,13,3,No,2.77,3.69,1.8,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,29,6,No,3.03,3.17,0.7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,29,3,No,2.76,2.96,1.5,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,11,6,No,3.27,4.18,2.7,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,12,2,No,2.75,2.09,0.4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,18,5,No,3.5,2.44,2.7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
3,15,3,No,2.73,3,0.5,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,25,3,No,4.8,4.24,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
8,10,4,No,1.5,3,1.1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,13,3,Yes,4.23,3.25,4.7,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,47,8,No,4.74,2.91,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
5,11,6,No,3.73,3,2.8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,18,5,No,2.44,3.59,0.9,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,21,1,No,2.52,2.9,0.7,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,42,2,No,3.62,3.46,3.8,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
9,33,1,No,1.88,3.96,3.2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,27,3,No,3.96,3.41,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,12,3,No,3.67,3,4.4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,45,4,No,2.02,3.85,0.4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,49,3,No,2.18,2.3,0.3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,36,3,Yes,3.31,3.66,4.2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,54,4,No,2.5,2.61,2.4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
10,31,6,No,3.26,2.32,3.3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6,17,4,No,2.12,3.35,2.3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,30,4,No,2.93,3.37,3.7,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,11,3,No,2.64,3.27,2.1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,17,5,No,2,2.47,0.3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
8,80,8,No,2.39,2.73,0.2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,39,4,No,2.79,3.42,2.5,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11,26,4,No,2.12,2.88,0.2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,29,4,No,2.66,4.07,0.8,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,60,7,No,3.48,2.25,0.7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1,16,3,No,1.94,2.88,0.4,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
3,10,5,No,3.1,1.9,1.1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
3,14,2,No,1.43,2.71,0.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,14,7,No,4.86,4,4.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,12,4,No,3.83,3.42,1.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,13,3,No,2.85,2.77,0.1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,11,5,No,3.64,2.91,3.1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,39,2,No,3.77,3.06,3.9,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,32,3,Yes,4.62,3.59,4.1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,10,2,No,2.4,3.9,4,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,21,5,Yes,4.81,3.89,4.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,10,3,No,1.9,2.5,1.4,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,12,3,No,3.58,3.5,1.6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,15,3,Yes,3.6,3.67,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,53,6,No,4.13,3.13,4.8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,68,3,No,2.91,2.92,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,48,4,No,1.75,3.35,3.3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,10,1,No,4.3,2.6,0.8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,36,3,No,2.19,3.11,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,15,2,Yes,3,3.36,3.6,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,32,3,Yes,4.12,3.09,3.8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,23,5,No,4.13,2.95,3.8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,14,4,No,3.14,4,3.6,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,12,4,No,2.33,3.75,1.2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,31,2,No,2.32,2.74,1.2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,24,3,Yes,3.67,3.86,4.4,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,33,4,No,3.45,3.29,4.1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,50,2,Yes,3.94,4.16,4.5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
8,11,6,No,2.27,3.64,0.7,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11,19,3,No,3.37,3.42,4.1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6,19,1,No,2.47,3,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,57,5,No,2.56,3.09,2.7,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,34,3,No,2.65,3.03,0.9,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,16,2,No,3.44,2.77,2.6,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,29,3,No,2.09,4,1.5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11,45,6,No,3.16,3.18,3.9,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,21,4,No,2.67,3.44,1.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
9,10,1,No,4.9,3.2,3.3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,10,4,No,4.9,4.6,4.9,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11,24,3,No,4.72,4.65,4.9,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,10,2,No,4,4.2,4.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,10,2,No,3.7,3.88,1.9,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,16,4,No,4.12,3.44,2.4,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,16,2,No,3.5,3.19,4.6,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,10,5,No,2.7,4.25,2.5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,15,1,No,3.2,3,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,29,2,Yes,4.03,3.03,3.5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,24,2,No,4.17,2.62,3.4,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,11,4,No,3.55,3.36,1.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
11,22,9,Yes,4.45,3.64,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,62,3,No,2.47,2.97,2.2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,21,3,No,3.62,3.43,4.2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,53,4,No,3.04,2.83,2.5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,12,2,No,4.25,2,2.7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,11,2,No,2.18,2.73,1.8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,38,2,No,3.87,2.82,2.3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,46,4,No,3.37,2.91,3.7,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,10,3,No,3.8,2.2,0.1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,24,4,No,2.33,2.56,0.1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,27,4,No,3.11,2.56,2.1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,21,3,No,3.62,3.41,0.7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
4,15,2,No,2.67,2.53,1.3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,10,3,No,3,2.7,1.7,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,11,5,No,2.27,2.55,0.1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,11,4,No,2.64,2.27,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
