"","Birthday","Home.City","Nationality","Height..in.","Weight..lbs.","Dominant.Hand","Age","Seasons.Played","Team","Games.Played","Number.of.Penalties","Goals.Scored","Average.Shot.Distance"
"270","5/17/93","Montreal","CAN",73.8558527527936,195,"L",24,1,"NYR",28,2,2,46.8689
"271","7/31/86","Magnitogorsk","RUS",78.5562559298451,195,"L",31,12,"PIT",78,29,42,26.3389
"272","12/12/92","Detroit","USA",69.5027157486827,160,"R",25,2,"BOS",10,1,0,27.4286
"273","1/7/94","Ottawa","CAN",73.8414830306712,212,"R",24,2,"FLA",60,12,2,52.0862
"274","5/12/98","Roberval","CAN",76.3958905963914,162,"L",19,1,"NSH, COL",73,15,4,53.7738
"275","6/24/98","Ste-Agathe-Des-Monts","CAN",73.6150083609881,207,"L",19,1,"CBJ",82,24,20,24.8606
"276","3/10/95","St. Clair","USA",75.3225721318753,191,"L",22,2,"CBJ, VAN",46,10,5,42.4531
"277","1/6/95","Sun Prairie","USA",70.62551041576,190,"L",23,1,"NJD",81,3,5,50.1136
"278","8/6/97","Helsinki","FIN",75.7542408359677,185,"L",20,1,"FLA",4,0,1,34.6667
"279","6/8/91","Keswick","CAN",75.4872936873863,191,"L",26,3,"ARI",5,0,0,53
"280","9/17/85","Moscow","RUS",72.6828627346791,235,"R",32,13,"WSH",82,18,49,32.2507
"281","7/30/98","Stockholm","SWE",73.2542318147776,175,"L",19,1,"NJD",74,13,13,28.93
"282","12/12/85","Maple Ridge","CAN",72.0344739005756,192,"L",32,13,"NYI",73,7,12,24.9018
"283","8/31/86","Plymouth","USA",71.5041689067806,225,"R",31,10,"WPG",81,24,23,35.2073
"284","7/18/81","Schwenningen","DEU",68.9450990027098,199,"L",36,15,"NYI",28,3,0,57.0323
"285","7/27/94","Viking","CAN",76.1175975658427,208,"L",23,1,"MIN",3,3,0,55.75
"286","10/30/85","Milwaukee","USA",70.3061761572835,215,"R",32,12,"NJD",59,8,8,25.4706
"287","2/9/90","Newmarket","CAN",71.4183494043672,210,"L",27,2,"VAN",27,5,4,35.6429
"288","9/21/90","St. Paul","USA",70.0732968856874,194,"R",27,2,"DET",81,11,0,51.6355
"289","6/23/89","Garden River, First Nations","CAN",74.7180076386424,219,"L",28,7,"BUF",69,16,4,29.5
"290","12/13/91","Yaroslavl","RUS",72.3208271048812,225,"L",26,6,"STL",80,19,33,31.3497
"291","6/6/91","Ottawa","CAN",70.7937463994846,196,"R",26,1,"OTT",2,0,0,27
"292","5/13/85","Winnipeg","CAN",73.585621327797,185,"R",32,12,"NJD",63,6,12,24.4945
"293","6/19/93","Ham Lake","USA",76.3086929023473,217,"L",24,2,"LAK",35,5,4,32.7358
"294","10/12/85","Calgary","CAN",74.7351251153169,207,"R",32,13,"DET",66,5,8,47.9091
"295","10/17/96","Edmonton","CAN",74.3702283961802,188,"L",21,1,"BOS",70,22,16,31.4126
"296","5/27/90","Huntsville","USA",70.599227123635,197,"R",27,3,"LAK, VAN",56,4,3,26.3137
"297","7/28/95","Milwaukee","USA",74.4931013173873,204,"R",22,3,"BUF",5,0,0,17
"298","4/7/94","Richmond","CAN",71.4151465015628,190,"R",23,2,"VAN",68,15,1,48.7234
"299","1/26/94","Edmonton","CAN",72.9339864105628,195,"L",24,1,"PHI",9,0,0,31.5
"300","2/14/95","Chicago","USA",72.0680641599918,223,"R",22,2,"CHI",47,17,4,26.9286
"301","4/17/95","Cherepovets","RUS",74.6770780594649,191,"L",22,2,"NYR",74,16,14,29.1397
"302","2/18/86","Meadow Lake","CAN",75.9102824090604,202,"R",31,12,"COL",79,22,13,36.1301
"303","12/8/92","Stockholm","SWE",74.8340336030047,196,"L",25,2,"DAL",81,12,19,25.2794
"304","8/26/95","Pointe-Claire","CAN",75.7812833872703,191,"L",22,4,"ARI, CHI",56,15,11,25.8763
"305","10/29/91","Moscow","RUS",70.3434161798852,195,"R",26,2,"TOR",60,5,5,63.1296
"306","2/4/83","West Seneca","USA",73.5154055288356,195,"R",34,13,"CAR",37,6,3,26.439
"307","6/4/90","Prince George","CAN",73.6710813070046,205,"L",27,6,"PHI",65,11,7,52.6396
"308","5/13/94","Penza","RUS",75.0293721127894,221,"R",23,3,"EDM",50,9,6,25.0411
"309","4/10/95","Herning","DNK",77.7873961075356,177,"R",22,3,"CBJ",82,12,11,30.5276
"310","6/20/94","Pickering","CAN",71.1602267424311,185,"L",23,2,"EDM",67,11,13,25.1538
"311","7/30/85","Grand Rapids","USA",75.3654635653286,185,"L",32,11,"ARI",78,7,12,52.2773
"312","4/28/86","Sternberk","CZE",72.5467756474591,188,"R",31,12,"BOS",64,12,17,30.2101
"313","9/13/95","Buffalo","USA",70.0977330475212,195,"L",22,3,"NJD",76,31,19,30.7941
"314","3/20/95","Mississauga","CAN",72.0950047781798,230,"L",22,3,"OTT",11,0,1,41.1818
"315","5/14/94","Kitchener","CAN",70.9508025428446,232,"R",23,1,"LAK",2,1,0,45
"316","7/8/94","Ann Arbor","USA",74.1637900741087,206,"L",23,4,"WPG",82,8,9,27
"317","1/12/95","Hamilton","CAN",74.6655556303791,222,"L",23,3,"OTT",41,6,0,78.2692
"318","9/8/90","Hodonin","CZE",72.4995173268524,194,"L",27,2,"CHI, WSH",53,6,3,54
"319","7/27/89","Ivry-sur-Seine","FRA",70.1801199436362,187,"L",28,2,"EDM",33,3,3,49.9275
"320","7/11/93","Mississauga","CAN",70.9711637003353,194,"R",24,5,"EDM",82,6,13,32.034
"321","4/25/86","Togliatti","RUS",75.082747144833,218,"L",31,7,"NSH",76,8,1,53.1864
"322","2/9/95","Klagenfurt","SWE",66.4288644966126,201,"L",22,4,"WSH",56,9,12,25.2857
"323","3/7/95","Grosse Pointe","USA",74.3395275029084,230,"R",22,3,"MTL",18,6,0,29.8
"324","4/21/86","Ostersund","SWE",71.9913417209114,214,"L",31,12,"VAN",70,10,6,59.8081
"325","11/30/94","Eisenstadt","SVK",74.2717029862703,212,"L",23,4,"WPG",23,0,2,43.5455
"326","3/2/95","Regina","CAN",73.3187425267614,185,"L",22,1,"CGY",1,0,0,0
"327","7/4/95","Georgetown","CAN",76.067017234638,205,"L",22,3,"DAL",27,7,0,31.9375
"328","9/20/94","Hilton Head Isl.","USA",71.1343420741738,181,"R",23,4,"CHI, NSH",78,32,11,28.6899
"329","8/5/95","Anaheim","USA",70.506659868866,217,"L",22,2,"FLA",38,6,3,50.6154
"330","2/22/95","Orillia","CAN",72.3137669392832,190,"L",22,2,"COL",15,2,0,61
"331","4/20/95","New Haven","USA",66.8180671269582,214,"L",22,2,"TBL",23,5,3,29.3793
"332","5/20/95","Arvika","SWE",69.6594557216711,210,"L",22,4,"MTL",55,6,4,27.3396
"333","4/8/95","Northbrook","USA",73.6691137278341,193,"R",22,2,"COL",69,11,13,31.2366
"334","5/15/95","St. Petersburg","RUS",74.4370146882291,224,"R",22,2,"CAR",10,1,3,26.0556
"335","3/27/95","Repentigny","CAN",74.4504927290583,180,"L",22,3,"ARI",2,0,0,43
"336","4/16/95","Cornwall","CAN",71.7002238455485,210,"L",22,2,"DAL",72,18,6,27.3714
"337","2/8/95","Uppsala","SWE",70.0884918097458,204,"L",22,2,"PHI",70,7,3,54.1124
"338","3/7/95","Bronxville","USA",70.9842524400913,205,"R",22,3,"NJD",36,4,2,61.9821
"339","3/22/95","Delta","CAN",70.5710813915006,179,"L",22,3,"WPG",15,0,2,32.0625
"340","12/1/94","Boras","SWE",74.5730152409976,196,"L",23,3,"MIN",41,2,0,48.0909
"341","5/9/95","Calgary","CAN",74.1451636269104,215,"L",22,1,"DAL",6,5,0,57.6667
"342","1/28/95","Stockholm","SWE",74.9140875313461,231,"L",23,1,"CHI",11,0,0,45.4167
"343","7/1/95","Buffalo","USA",73.9070533369779,214,"R",22,3,"BUF",12,2,3,29.2105
"344","4/22/95","Winnipeg","CAN",71.3404477117896,198,"R",22,1,"WSH",51,6,0,51.0213
"345","7/4/95","Piikkio","FIN",74.7724216383582,183,"L",22,2,"MTL",66,7,12,26.4024
"346","1/13/87","Thunder Bay","CAN",70.9005227273981,209,"L",31,11,"NYR",72,8,1,44.5147
"347","12/20/94","LaSalle","CAN",71.7935772108165,212,"L",23,2,"VGK",37,18,1,27.0769
"348","2/24/95","Sudbury","CAN",69.9370439490479,190,"L",22,2,"DET",48,21,7,21.9759
"349","1/30/85","Greenfield Park","CAN",72.1237853475419,186,"R",33,10,"MTL, LAK",60,8,6,31.1455
"350","3/21/85","Rochester","USA",74.2620611904367,187,"R",32,12,"TBL",67,18,5,32.25
"351","2/16/89","Toronto","CAN",74.7171382673538,196,"L",28,2,"ANA",7,3,0,27
"352","11/15/94","Tarrytown","USA",70.0744584287331,200,"R",23,3,"CAR",65,9,3,48.3068
"353","5/13/86","Lethbridge","CAN",76.0989593882474,176,"R",31,11,"CGY",24,3,3,35.5102
"354","8/4/95","Ottawa","CAN",70.5058498991214,205,"R",22,2,"BUF",33,4,4,31.5333
"355","9/1/95","Halifax","CAN",71.0904405780274,205,"R",22,5,"COL",74,23,39,30.588
"356","9/2/95","Tampere","FIN",74.975516276847,213,"L",22,5,"FLA",79,21,27,30.0781
"357","3/28/95","Ste-Agathe","CAN",74.1858720704568,203,"L",22,4,"MTL",77,13,13,32.3049
"358","10/3/94","Arlington","USA",72.1795705790264,210,"R",23,5,"CBJ",78,18,16,48.2088
"359","12/2/94","Boden","SWE",72.8204843993941,192,"R",23,5,"CAR",81,10,16,26.0588
"360","10/12/94","Brampton","CAN",70.4231222356749,195,"L",23,5,"CGY",74,10,31,24.7376
"361","2/4/95","Hamilton","CAN",73.895503125583,221,"L",22,4,"EDM",82,19,6,45.4227
"362","10/27/94","Turku","FIN",75.0004422734153,218,"R",23,5,"BUF",73,18,6,59.533
"363","4/5/95","London","CAN",72.1180651110117,223,"L",22,4,"VAN",64,15,22,22.7089
"364","7/12/95","Lac-Beauport","CAN",76.0499173468496,202,"L",22,2,"PHI",2,0,0,23
"365","3/2/95","Winnipeg","CAN",73.1619063651344,195,"L",22,3,"ARI",82,26,9,33.9933
"366","3/28/95","Calgary","CAN",74.2824964863833,195,"L",22,3,"WPG",81,11,7,53.0686
"367","9/22/94","Stockholm","SWE",72.09437942861,196,"L",23,4,"CBJ",66,11,8,25.9054
"368","10/6/94","Dauphin","CAN",70.2147659945908,214,"R",23,3,"NYI",68,5,10,47.087
"369","4/16/95","Moscow","RUS",72.8624149418293,230,"L",22,5,"COL",77,17,7,57.2128
"370","2/2/95","Salmon Arm","CAN",74.1065434919756,209,"R",22,4,"CGY",65,10,2,26.0923
"371","3/21/95","Winterthur","CHE",71.203073763963,210,"L",22,4,"NJD",28,3,0,48.7895
"372","6/5/90","Prague","CZE",70.9485654487385,204,"R",27,6,"PHI",70,14,2,66.1479
"373","9/16/94","Longueuil","CAN",72.2544657209495,225,"L",23,3,"DET",80,8,24,26.0632
"374","4/26/95","Laval","CAN",73.1261863472257,232,"L",22,3,"TOR",9,2,1,27.25
"375","5/11/88","Halifax","CAN",69.0171290419868,181,"L",29,9,"BOS",68,27,34,26.8516
"376","10/31/87","Buffalo","USA",74.7951412524998,202,"L",30,11,"CBJ",72,14,15,29.5109
"377","2/8/94","Laval","CAN",71.5550763904585,175,"R",23,2,"PIT",5,1,1,11
"378","2/18/94","Charlottetown","CAN",71.9401767036439,235,"L",23,2,"NYI",24,8,3,19.8947
"379","12/20/86","Kindersley","CAN",74.7541171317762,192,"R",31,10,"VAN",20,11,7,28.8077
"380","12/26/94","Battleford","CAN",71.4882389906238,200,"L",23,1,"BOS",3,0,0,28.5
"381","11/14/91","Calgary","CAN",73.0864309112209,205,"L",26,8,"NJD",76,23,39,26.8633
"382","8/26/96","Bonney Lake","USA",72.1705186867482,195,"R",21,1,"SJS",3,0,0,40
"383","4/28/88","Boston","USA",72.0195998962252,190,"L",29,1,"PHI",1,0,0,49
"384","1/5/94","Alton","USA",74.8630869208517,195,"L",24,1,"ARI",9,0,0,62
"385","3/21/88","Bloomington","USA",72.4312281539058,225,"R",29,10,"COL",62,15,9,50.3095
"386","4/16/88","St. Paul","USA",71.7055811143411,220,"R",29,11,"BUF",76,20,15,28.5031
"387","1/26/96","Elk River","USA",72.7234446533232,180,"L",22,1,"CHI",4,0,1,54
"388","1/8/87","Salt Lake City","USA",69.2198688669381,205,"R",31,10,"LAK",68,8,14,33.6194
"389","5/7/94","Burlington","CAN",72.1658628090971,221,"R",23,4,"CBJ",63,23,19,28.7979
"390","6/14/87","Toronto","CAN",74.5435490492218,177,"L",30,11,"ANA",80,11,12,31.8343
"391","1/23/87","Narva","FIN",69.2474531330688,209,"L",31,5,"TOR",74,8,7,30.5526
"392","8/5/88","Fergus","CAN",77.0361937230899,205,"L",29,10,"FLA",76,15,13,26.1795
"393","11/13/90","New Westminster","CAN",69.2574393017832,225,"L",27,7,"SJS",81,12,5,52.7614
"394","4/14/88","Saskatoon","CAN",72.2430982959117,222,"R",29,6,"EDM",21,3,0,55.6316
"395","8/13/96","Laval","CAN",74.1616943917617,193,"L",21,1,"ANA",1,0,0,0
"396","6/7/88","Vancouver","CAN",72.1493234242182,236,"L",29,11,"EDM",82,6,10,29.8299
"397","8/17/85","Vancouver","CAN",74.585305033939,215,"R",32,12,"CGY",76,15,6,37.2278
"398","2/26/92","Oulu","FIN",73.7283193153586,185,"L",25,6,"MIN",77,14,21,28.9845
"399","4/22/99","Vihti","FIN",74.6548186483903,191,"L",18,1,"NSH",3,0,0,13.6667
"400","1/13/95","Moscow","RUS",74.2637848121972,191,"L",23,1,"FLA",26,2,3,28.8214
"401","5/21/85","Warren","USA",74.3957393113364,200,"L",32,11,"PIT",42,9,4,51.8462
"402","10/30/87","Toronto","CAN",73.7777161695291,242,"R",30,10,"MIN, CGY",54,8,10,25.0588
"403","2/8/93","Medicine Hat","CAN",72.0551062013895,170,"L",24,1,"FLA",1,0,0,0
"404","6/7/88","Windsor","CAN",74.0416780980346,203,"L",29,10,"BOS, NYR",15,6,0,41.0588
"405","7/14/90","Burlington","CAN",75.8613982424546,197,"R",27,4,"CAR, PIT",40,12,3,31.3
"406","11/12/87","Edmonton","CAN",72.3102255304778,191,"R",30,11,"WPG",82,21,16,27.8605
"407","12/9/94","Richmond Hill","CAN",73.4759953054853,187,"L",23,1,"CGY",7,8,0,26.8
"408","10/3/96","Braintree","USA",72.0782041913917,170,"R",21,1,"VAN",5,0,0,32.8889
"409","11/18/87","Welland","CAN",71.2127886861731,216,"R",30,11,"NYI",76,9,8,34.4851
"410","10/29/90","Lipetsk","RUS",77.7704247263506,204,"L",27,9,"WPG",62,7,3,56.3125
"411","3/12/87","Cherepovets","RUS",71.2339788184925,187,"L",30,1,"VGK",3,1,1,25.3333
"412","9/3/87","Whitby","CAN",74.0059804661687,221,"L",30,10,"VGK",71,30,25,28.0545
"413","10/7/94","Torrance","USA",70.2854378896729,213,"L",23,3,"MTL",4,2,1,37.2857
"414","1/12/88","Hearst","CAN",71.5248529160689,185,"R",30,11,"PHI",82,25,34,33.3627
"415","6/5/80","Peterborough","CAN",72.4269249178254,216,"R",37,18,"NSH",16,1,2,31.6429
"416","4/4/88","Montreal","CAN",67.7809740944205,193,"R",29,4,"VAN",44,5,1,45.0253
"417","3/6/85","Toronto","CAN",73.1783341230076,210,"L",32,11,"MIN",81,9,6,34.0732
"418","9/10/88","Thunder Bay","CAN",74.2559559027237,220,"L",29,12,"CAR",79,14,19,22.5188
"419","12/6/86","Virginia","USA",71.3055977604458,203,"R",31,11,"WSH",68,4,7,53.7167
"420","1/14/91","Toronto","CAN",74.0734977474163,205,"L",27,7,"NYR",23,1,1,36
"421","7/15/85","Prince Albert","CAN",74.1552953765013,218,"R",32,8,"DAL, NYR",5,0,0,31.6667
"422","1/31/92","Brampton","CAN",73.1050556258062,201,"R",26,8,"DAL",82,23,40,30.6149
"423","6/4/80","Sorel","CAN",70.9699698785863,208,"L",37,14,"ANA",67,3,3,54.6882
"424","10/5/87","Villach","AUT",70.5390094501389,188,"L",30,9,"NYR, NJD",80,13,27,28.4371
"425","1/18/79","Rochester","USA",74.6151806427856,178,"R",39,16,"BOS",20,1,2,36.7857
"426","10/2/87","Madison","USA",72.6827274541381,202,"R",30,12,"PIT",82,8,34,28.7241
"427","6/13/83","Toronto","CAN",75.961996676741,214,"R",34,15,"DAL",78,4,8,31.8261
"428","3/15/86","Rødovre","DNK",75.1237293554602,198,"R",31,11,"SJS",46,7,2,36.3889
"429","3/12/83","Turku","FIN",74.8074540480857,215,"L",34,13,"MIN",82,6,14,29.0706
"430","2/16/88","Munich","DEU",71.9857459201588,214,"R",29,6,"ANA",16,1,0,54.6
"431","12/13/82","Smithers","CAN",70.0735375110818,204,"L",35,14,"DAL",80,9,3,60.4545
"432","8/13/83","Pardubice","CZE",73.7724662715225,177,"R",34,15,"MTL",7,2,0,30.2
"433","11/23/87","Gävle","SWE",74.1880119762765,210,"L",30,11,"WSH",81,17,21,32.7576
"434","2/17/88","Kladno","CZE",71.4507224542643,194,"L",29,10,"CGY",70,11,10,34.1257
"435","5/7/86","Elk River","USA",73.1915198896079,206,"R",31,9,"STL, MIN",57,12,3,61.6667
"436","5/24/88","Yaroslavl","RUS",74.0155131862329,198,"L",29,10,"CHI",72,12,20,23.4385
"437","2/19/88","Mississauga","CAN",75.10026485206,231,"L",29,11,"WPG",27,1,1,22.0385
"438","11/29/87","Victoria","CAN",71.367720719959,207,"L",30,6,"NSH",50,3,2,58.7097
"439","7/14/86","Magnitogorsk","RUS",66.5464065672911,228,"L",31,10,"NYI",13,5,1,14.4286
"440","9/7/86","Judique","CAN",73.9219519751352,204,"L",31,10,"PHI",66,12,6,61.8659
"441","6/25/98","Nizhnekamsk","RUS",73.8322245749619,215,"L",19,2,"TBL",79,8,9,47.7801
"442","6/8/82","Toronto","CAN",74.9007489744698,185,"L",35,15,"LAK, EDM",66,2,7,34.6172
"443","6/3/83","Sault Ste. Marie","CAN",74.408701436836,235,"R",34,13,"STL",50,11,1,36.1143
"444","9/5/99","Kromeriz","CZE",74.6723035580064,202,"L",18,1,"NYR",9,1,1,17.5714
"445","11/30/82","Repentigny","USA",73.4090939304345,180,"R",35,14,"BUF",82,7,16,37.256
"446","4/29/88","Winnipeg","CAN",72.3327213378756,201,"L",29,11,"CHI",74,11,20,27.2464
"447","10/30/91","Korkino","RUS",70.2657039511395,168,"R",26,3,"CBJ",81,22,27,32.4518
"448","4/24/87","Montreal","CAN",76.1149562637831,201,"R",30,12,"PIT",79,15,9,50.6937
"449","12/6/92","Ust-Kamenogorsk","RUS",68.1939387740798,175,"L",25,1,"BUF",47,2,0,47.175
"450","10/31/82","Kladno","CZE",70.5768606073991,193,"L",35,14,"MTL, TOR",77,9,6,34.1458
"451","1/5/88","Drummondville","CAN",74.1474757177233,188,"L",30,9,"WPG",70,24,17,28.0144
"452","3/13/90","Kingsville","CAN",71.251994681384,230,"R",27,7,"NJD",4,1,0,48.8
"453","7/5/86","Nizhny Tagil","RUS",71.4721558108538,201,"L",31,5,"DAL",82,22,27,25.7742
"454","5/2/87","Caroline","CAN",72.6969129531621,173,"L",30,11,"EDM",78,8,4,53.9111
"455","12/27/81","Winnipeg","CAN",73.0903687118655,200,"R",36,15,"CHI",70,9,10,33.021
"456","12/20/89","Toronto","CAN",74.8104606207606,195,"R",28,8,"VAN",42,4,2,60.9677
"457","9/1/87","Oslo","NOR",70.147351619851,179,"L",30,8,"NYR",80,19,16,35.3258
"458","11/22/92","Zhukovskiy","RUS",72.7387947881831,180,"L",25,5,"TBL, NYR",81,19,22,20.6323
"459","4/28/86","Ostrava","CZE",73.7301411765312,235,"R",31,12,"TOR",54,7,2,48.4468
"460","9/25/91","Gävle","SWE",72.9389795147509,186,"R",26,5,"NSH",68,8,16,29.9524
"461","10/29/91","Skellefteå","SWE",68.6360185820784,202,"L",26,4,"VGK",63,7,9,36.9136
"462","2/18/92","Kosice","SVK",72.2527083778781,212,"L",25,5,"TOR",2,0,0,0
"463","1/30/92","Tonka Bay","USA",73.3731266665475,205,"R",26,1,"TOR",2,0,2,40
"464","5/7/87","Edmonton","CAN",72.0253935843351,189,"L",30,10,"MTL",37,2,1,50.3158
"465","1/16/92","Newport Beach","USA",70.2649191046421,187,"L",26,7,"MIN",82,18,33,25.8559
"466","4/24/92","Scarborough","CAN",72.260183032019,197,"R",25,6,"LAK",82,20,24,31.5339
"467","1/30/92","Ottawa","CAN",67.3970274777213,187,"L",26,6,"BOS, NYR",59,8,13,32.9533
"468","7/25/92","Lau","SWE",76.3588395765361,198,"L",25,6,"BUF",80,13,4,44.1744
"469","10/18/91","Kansas City","USA",74.2196453152234,201,"R",26,2,"PHI, COL",15,0,0,53.3636
"470","4/18/92","Ellwood City","USA",71.3156096876775,221,"R",25,3,"DAL",75,5,8,58.7025
"471","6/17/92","St. Thomas","CAN",74.9609311676528,191,"L",25,5,"PIT",26,2,2,21.6667
"472","2/25/92","Everett","USA",74.8984947940917,203,"L",25,2,"FLA",44,5,4,31.2097
"473","4/15/92","North Vancouver","CAN",73.0567087255624,179,"R",25,3,"PHI",69,7,8,26.0294
"474","5/31/92","Shawinigan","CAN",71.4624571174019,198,"L",25,4,"TBL",5,0,0,37.4
"475","6/6/94","Oulu","FIN",72.0932387829999,191,"L",23,2,"CBJ",61,5,7,45.9494
"476","6/16/81","Grimsby","CAN",73.80311818995,197,"R",36,13,"ANA",59,18,0,58.8182
"477","5/19/92","Chelyabinsk","RUS",68.8222488151718,204,"L",25,5,"WSH",79,17,27,24.9358
"478","3/2/92","E. Weymouth","USA",72.1255902830712,221,"R",25,6,"MIN",66,16,11,28.906
"479","2/8/92","Stockholm","SWE",72.9424883596382,219,"L",25,5,"COL",68,9,3,53.589
"480","2/3/92","Oklahoma City","USA",73.3334928077918,205,"L",25,5,"VGK",34,1,1,47.4
"481","11/1/91","Minneapolis","USA",71.1236509360552,200,"R",26,4,"DAL",80,14,14,30.5814
"482","6/26/84","Binscarth","CAN",73.194073091715,210,"L",33,11,"NSH, NYR",48,20,1,28.7778
"483","10/15/91","Warroad","USA",72.6436019438314,212,"L",26,5,"NYI",82,17,19,21.6884
"484","3/3/92","Edmonton","CAN",75.3413893280616,206,"R",25,6,"FLA",67,11,2,51.6833
"485","6/14/92","Scarborough","CAN",74.1587073043225,223,"R",25,7,"WSH",75,11,7,30.9806
"486","12/15/86","Toronto","CAN",77.4584535389092,217,"R",31,11,"OTT",1,0,0,16
"487","7/17/92","Minneapolis","USA",72.7726999487113,218,"R",25,6,"FLA",82,17,19,25.1696
"488","11/27/91","Gardena","USA",76.2501295871845,195,"R",26,6,"STL",6,0,0,18
"489","3/4/92","Duluth","USA",71.5152628592732,215,"L",25,3,"LAK",78,11,1,55.1923
"490","5/8/92","Dorchester","USA",77.1617508872718,217,"L",25,4,"NYR",76,9,25,26.4535
"491","12/5/91","Windsor","USA",73.102266531067,215,"L",26,8,"ANA",67,6,8,44.6885
"492","12/27/85","Quebec City","USA",69.6674659319092,193,"L",32,12,"STL, WPG",82,13,16,20.0189
"493","1/13/92","Ann Arbor","USA",71.0272173942432,204,"R",26,4,"NSH",76,21,14,33.3646
"494","6/25/92","Wilcox","CAN",69.3832493452762,190,"L",25,7,"STL",62,13,24,27.8471
"495","8/7/87","Cole Harbour","CAN",72.941594939454,200,"L",30,13,"PIT",82,17,29,23.5344
"496","12/7/91","St. Catharines","CAN",70.194964506076,214,"L",26,7,"DET, PIT",81,15,11,31.2202
"497","1/13/87","Indianapolis","USA",75.1349878600897,227,"L",31,12,"CBJ",77,4,3,55.4205
"498","9/29/86","Alfred","CAN",70.2157276853944,200,"L",31,12,"BUF",74,9,13,30.7229
"499","11/29/90","Plzen","CZE",74.1173350183324,220,"R",27,6,"TBL",44,0,2,56.2222
"500","5/27/91","Walpole","USA",70.5342487318575,198,"R",26,4,"ANA, NYI",79,18,7,33.4946
"501","8/24/87","Jesenice","SVN",72.4447308163021,224,"L",30,12,"LAK",82,15,35,32.5
"502","4/1/83","Kalajoki","FIN",71.0656018657404,191,"L",34,13,"EDM, LAK, CBJ, VAN",60,6,5,32.8767
"503","6/23/83","Wawota","CAN",70.8323099205317,200,"L",34,13,"LAK",12,1,0,24.8
"504","5/16/92","Toronto","CAN",70.0781899350697,200,"L",25,8,"CAR",82,29,24,24.704
"505","6/9/92","Toronto","CAN",75.0537413960538,213,"R",25,3,"TOR",82,18,15,23.0336
"506","2/20/87","Pisek","CZE",75.5238182526301,230,"L",30,11,"DAL",38,7,5,42.4194
"507","10/21/91","Kazan","RUS",71.4175621475659,180,"L",26,6,"VAN",24,2,2,38.3889
"508","4/3/82","Edmonton","CAN",72.2273039203794,214,"R",35,9,"VGK",79,6,5,51.7407
"509","1/7/92","Ottawa","CAN",75.5209392279902,220,"R",26,7,"VAN",52,5,2,62.8868
"510","6/8/92","Winchester","USA",72.2413763683601,175,"L",25,3,"PIT",79,13,18,26.5352
"511","5/2/92","Campbell River","CAN",73.3165524642712,195,"R",25,7,"WSH",70,4,15,23.5522
"512","7/31/92","Vancouver","CAN",70.4232460185088,218,"R",25,7,"NSH",79,19,15,25.062
"513","12/23/86","Everett","USA",71.984646964621,195,"R",31,10,"WSH",74,21,18,27.7717
"514","3/25/94","Sudbury","CAN",75.4715023639023,217,"L",23,3,"VAN",37,6,4,33.1273
"515","1/11/92","Sherwood Park","CAN",74.2346382594804,200,"R",26,6,"FLA",82,13,3,46.0943
"516","7/24/91","Middletown","USA",74.3544988705661,188,"R",26,4,"CAR",79,5,3,52.5766
"517","1/18/91","Oviedo","USA",77.1367240011001,200,"R",27,3,"SJS, VGK",52,5,9,30.1529
"518","9/8/92","Chur","CHE",74.4846323036939,216,"L",25,7,"MIN",63,16,18,24.9098
"519","2/9/91","Gothenburg","SWE",71.4923684789964,204,"R",26,5,"LAK",65,9,3,61.6724
"520","6/25/92","Dearborn Heights","USA",74.7344634908611,182,"L",25,4,"CHI",55,7,5,53.404
"521","3/30/87","Montreal","CAN",74.1520763730457,205,"L",30,12,"SJS",81,7,11,55.4348
"522","4/27/87","Thunder Bay","USA",75.0604384785078,193,"L",30,8,"WSH, CBJ",25,1,1,62.0714
"523","2/25/92","Stockholm","SWE",71.1828942849386,189,"L",25,5,"CAR",75,8,2,40.0309
"524","4/9/92","Ile Bizard","CAN",75.1132707312517,204,"L",25,5,"VAN",9,2,0,23.5
"525","10/1/81","Stockholm","SWE",74.726967806589,191,"L",36,12,"OTT, PHI",52,4,4,53.7119
"526","5/11/92","Pontiac","USA",72.523728362176,192,"R",25,4,"PIT",69,23,13,26.8699
"527","2/25/87","Muskegon","USA",72.361067145303,214,"L",30,11,"DET",75,19,13,25.7727
"528","10/12/86","Charlottetown","CAN",76.6627224932523,212,"R",31,9,"BOS",38,7,1,55.2564
"529","4/13/92","Raahe","FIN",74.2189955655166,190,"R",25,3,"SJS",66,18,14,23.6124
"530","5/6/92","Edmonton","CAN",73.1519000254941,181,"R",25,6,"MTL",82,29,31,25.8022
"531","9/9/86","Boston","USA",76.8910723843751,196,"L",31,12,"FLA",82,14,8,59.3911
"532","1/21/92","Landshut","DEU",74.5958551728217,196,"L",26,3,"PIT",69,8,2,30.0159
"533","4/7/92","Sodertalje","SWE",79.5568815713223,175,"L",25,2,"SJS",32,7,5,21.76
"534","3/20/84","Vantaa","FIN",69.1231628062084,196,"L",33,13,"PHI",81,11,11,26.0141
"535","8/8/87","Sicamous","CAN",74.3609333341029,224,"R",30,9,"CHI",23,4,1,59.1961
"536","7/2/87","Trebic","CZE",73.8238945738269,184,"L",30,9,"STL",81,18,11,31.2353
"537","1/27/91","Gothenburg","SWE",71.7899911420224,185,"R",27,2,"SJS",29,1,3,47.8824
