Crash,Distracted,Age
2475,Not Distracted,15-19
2476,Not Distracted,15-19
2477,Not Distracted,15-19
2478,Not Distracted,15-19
2479,Not Distracted,15-19
2480,Not Distracted,15-19
2481,Not Distracted,15-19
2482,Not Distracted,15-19
2483,Not Distracted,15-19
2484,Not Distracted,15-19
2485,Not Distracted,15-19
2486,Not Distracted,15-19
2487,Not Distracted,15-19
2488,Not Distracted,15-19
2489,Not Distracted,15-19
2490,Not Distracted,15-19
2491,Not Distracted,15-19
2492,Not Distracted,15-19
2493,Not Distracted,15-19
2494,Not Distracted,15-19
2495,Not Distracted,15-19
2496,Not Distracted,15-19
2497,Not Distracted,15-19
2498,Not Distracted,15-19
2499,Not Distracted,15-19
2500,Not Distracted,15-19
2501,Not Distracted,15-19
2502,Not Distracted,15-19
2503,Not Distracted,15-19
2504,Not Distracted,15-19
2505,Not Distracted,15-19
2506,Not Distracted,15-19
2507,Not Distracted,15-19
2508,Not Distracted,15-19
2509,Not Distracted,15-19
2510,Not Distracted,15-19
2511,Not Distracted,15-19
2512,Not Distracted,15-19
2513,Not Distracted,15-19
2514,Not Distracted,15-19
2515,Not Distracted,15-19
2516,Not Distracted,15-19
2517,Not Distracted,15-19
2518,Not Distracted,15-19
2519,Not Distracted,15-19
2520,Not Distracted,15-19
2521,Not Distracted,15-19
2522,Not Distracted,15-19
2523,Not Distracted,15-19
2524,Not Distracted,15-19
2525,Not Distracted,15-19
2526,Not Distracted,15-19
2527,Not Distracted,15-19
2528,Not Distracted,15-19
2529,Not Distracted,15-19
2530,Not Distracted,15-19
2531,Not Distracted,15-19
2532,Not Distracted,15-19
2533,Not Distracted,15-19
2534,Not Distracted,15-19
2535,Not Distracted,15-19
2536,Not Distracted,15-19
2537,Not Distracted,15-19
2538,Not Distracted,15-19
2539,Not Distracted,15-19
2540,Not Distracted,15-19
2541,Not Distracted,15-19
2542,Not Distracted,15-19
2543,Not Distracted,15-19
2544,Not Distracted,15-19
2545,Not Distracted,15-19
2546,Not Distracted,15-19
2547,Not Distracted,15-19
2548,Not Distracted,15-19
2549,Not Distracted,15-19
2550,Not Distracted,15-19
2551,Not Distracted,15-19
2552,Not Distracted,15-19
2553,Not Distracted,15-19
2554,Not Distracted,15-19
2555,Not Distracted,15-19
2556,Not Distracted,15-19
2557,Not Distracted,15-19
2558,Not Distracted,15-19
2559,Not Distracted,15-19
2560,Not Distracted,15-19
2561,Not Distracted,15-19
2562,Not Distracted,15-19
2563,Not Distracted,15-19
2564,Not Distracted,15-19
2565,Not Distracted,15-19
2566,Not Distracted,15-19
2567,Not Distracted,15-19
2568,Not Distracted,15-19
2569,Not Distracted,15-19
2570,Not Distracted,15-19
2571,Not Distracted,15-19
2572,Not Distracted,15-19
2573,Not Distracted,15-19
2574,Not Distracted,15-19
2575,Not Distracted,15-19
2576,Not Distracted,15-19
2577,Not Distracted,15-19
2578,Not Distracted,15-19
2579,Not Distracted,15-19
2580,Not Distracted,15-19
2581,Not Distracted,15-19
2582,Not Distracted,15-19
2583,Not Distracted,15-19
2584,Not Distracted,15-19
2585,Not Distracted,15-19
2586,Not Distracted,15-19
2587,Not Distracted,15-19
2588,Not Distracted,15-19
2589,Not Distracted,15-19
2590,Not Distracted,15-19
2591,Not Distracted,15-19
2592,Not Distracted,15-19
2593,Not Distracted,15-19
2594,Not Distracted,15-19
2595,Not Distracted,15-19
2596,Not Distracted,15-19
2597,Not Distracted,15-19
2598,Not Distracted,15-19
2599,Not Distracted,15-19
2600,Not Distracted,15-19
2601,Not Distracted,15-19
2602,Not Distracted,15-19
2603,Not Distracted,15-19
2604,Not Distracted,15-19
2605,Not Distracted,15-19
2606,Not Distracted,15-19
2607,Not Distracted,15-19
2608,Not Distracted,15-19
2609,Not Distracted,15-19
2610,Not Distracted,15-19
2611,Not Distracted,15-19
2612,Not Distracted,15-19
2613,Not Distracted,15-19
2614,Not Distracted,15-19
2615,Not Distracted,15-19
2616,Not Distracted,15-19
2617,Not Distracted,15-19
2618,Not Distracted,15-19
2619,Not Distracted,15-19
2620,Not Distracted,15-19
2621,Not Distracted,15-19
2622,Not Distracted,15-19
2623,Not Distracted,15-19
2624,Not Distracted,15-19
2625,Not Distracted,15-19
2626,Not Distracted,15-19
2627,Not Distracted,15-19
2628,Not Distracted,15-19
2629,Not Distracted,15-19
2630,Not Distracted,15-19
2631,Not Distracted,15-19
2632,Not Distracted,15-19
2633,Not Distracted,15-19
2634,Not Distracted,15-19
2635,Not Distracted,15-19
2636,Not Distracted,15-19
2637,Not Distracted,15-19
2638,Not Distracted,15-19
2639,Not Distracted,15-19
2640,Not Distracted,15-19
2641,Not Distracted,15-19
2642,Not Distracted,15-19
2643,Not Distracted,15-19
2644,Not Distracted,15-19
2645,Not Distracted,15-19
2646,Not Distracted,15-19
2647,Not Distracted,15-19
2648,Not Distracted,15-19
2649,Not Distracted,15-19
2650,Not Distracted,15-19
2651,Not Distracted,15-19
2652,Not Distracted,15-19
2653,Not Distracted,15-19
2654,Not Distracted,15-19
2655,Not Distracted,15-19
2656,Not Distracted,15-19
2657,Not Distracted,15-19
2658,Not Distracted,15-19
2659,Not Distracted,15-19
2660,Not Distracted,15-19
2661,Not Distracted,15-19
2662,Not Distracted,15-19
2663,Not Distracted,15-19
2664,Not Distracted,15-19
2665,Not Distracted,15-19
2666,Not Distracted,15-19
2667,Not Distracted,15-19
2668,Not Distracted,15-19
2669,Not Distracted,15-19
2670,Not Distracted,15-19
2671,Not Distracted,15-19
2672,Not Distracted,15-19
2673,Not Distracted,15-19
2674,Not Distracted,15-19
2675,Not Distracted,15-19
2676,Not Distracted,15-19
2677,Not Distracted,15-19
2678,Not Distracted,15-19
2679,Not Distracted,15-19
2680,Not Distracted,15-19
2681,Not Distracted,15-19
2682,Not Distracted,15-19
2683,Not Distracted,15-19
2684,Not Distracted,15-19
2685,Not Distracted,15-19
2686,Not Distracted,15-19
2687,Not Distracted,15-19
2688,Not Distracted,15-19
2689,Not Distracted,15-19
2690,Not Distracted,15-19
2691,Not Distracted,15-19
2692,Not Distracted,15-19
2693,Not Distracted,15-19
2694,Not Distracted,15-19
2695,Not Distracted,15-19
2696,Not Distracted,15-19
2697,Not Distracted,15-19
2698,Not Distracted,15-19
2699,Not Distracted,15-19
2700,Not Distracted,15-19
2701,Not Distracted,15-19
2702,Not Distracted,15-19
2703,Not Distracted,15-19
2704,Not Distracted,15-19
2705,Not Distracted,15-19
2706,Not Distracted,15-19
2707,Not Distracted,15-19
2708,Not Distracted,15-19
2709,Not Distracted,15-19
2710,Not Distracted,15-19
2711,Not Distracted,15-19
2712,Not Distracted,15-19
2713,Not Distracted,15-19
2714,Not Distracted,15-19
2715,Not Distracted,15-19
2716,Not Distracted,15-19
2717,Not Distracted,15-19
2718,Not Distracted,15-19
2719,Not Distracted,15-19
2720,Not Distracted,15-19
2721,Not Distracted,15-19
2722,Not Distracted,15-19
2723,Not Distracted,15-19
2724,Not Distracted,15-19
2725,Not Distracted,15-19
2726,Not Distracted,15-19
2727,Not Distracted,15-19
2728,Not Distracted,15-19
2729,Not Distracted,15-19
2730,Not Distracted,15-19
2731,Not Distracted,15-19
2732,Not Distracted,15-19
2733,Not Distracted,15-19
2734,Not Distracted,15-19
2735,Not Distracted,15-19
2736,Not Distracted,15-19
2737,Not Distracted,15-19
2738,Not Distracted,15-19
2739,Not Distracted,15-19
2740,Not Distracted,15-19
2741,Not Distracted,15-19
2742,Not Distracted,15-19
2743,Not Distracted,15-19
2744,Not Distracted,15-19
2745,Not Distracted,15-19
2746,Not Distracted,15-19
2747,Not Distracted,15-19
2748,Not Distracted,15-19
2749,Not Distracted,15-19
2750,Not Distracted,15-19
2751,Not Distracted,15-19
2752,Not Distracted,15-19
2753,Not Distracted,15-19
2754,Not Distracted,15-19
2755,Not Distracted,15-19
2756,Not Distracted,15-19
2757,Not Distracted,15-19
2758,Not Distracted,15-19
2759,Not Distracted,15-19
2760,Not Distracted,15-19
2761,Not Distracted,15-19
2762,Not Distracted,15-19
2763,Not Distracted,15-19
2764,Not Distracted,15-19
2765,Not Distracted,15-19
2766,Not Distracted,15-19
2767,Not Distracted,15-19
2768,Not Distracted,15-19
2769,Not Distracted,15-19
2770,Not Distracted,15-19
2771,Not Distracted,15-19
2772,Not Distracted,15-19
2773,Not Distracted,15-19
2774,Not Distracted,15-19
2775,Not Distracted,15-19
2776,Not Distracted,15-19
2777,Not Distracted,15-19
2778,Not Distracted,15-19
2779,Not Distracted,15-19
2780,Not Distracted,15-19
2781,Not Distracted,15-19
2782,Not Distracted,15-19
2783,Not Distracted,15-19
2784,Not Distracted,15-19
2785,Not Distracted,15-19
2786,Not Distracted,15-19
2787,Not Distracted,15-19
2788,Not Distracted,15-19
2789,Not Distracted,15-19
2790,Not Distracted,15-19
2791,Not Distracted,15-19
2792,Not Distracted,15-19
2793,Not Distracted,15-19
2794,Not Distracted,15-19
2795,Not Distracted,15-19
2796,Not Distracted,15-19
2797,Not Distracted,15-19
2798,Not Distracted,15-19
2799,Not Distracted,15-19
2800,Not Distracted,15-19
2801,Not Distracted,15-19
2802,Not Distracted,15-19
2803,Not Distracted,15-19
2804,Not Distracted,15-19
2805,Not Distracted,15-19
2806,Not Distracted,15-19
2807,Not Distracted,15-19
2808,Not Distracted,15-19
2809,Not Distracted,15-19
2810,Not Distracted,15-19
2811,Not Distracted,15-19
2812,Not Distracted,15-19
2813,Not Distracted,15-19
2814,Not Distracted,15-19
2815,Not Distracted,15-19
2816,Not Distracted,15-19
2817,Not Distracted,15-19
2818,Not Distracted,15-19
2819,Not Distracted,15-19
2820,Not Distracted,15-19
2821,Not Distracted,15-19
2822,Not Distracted,15-19
2823,Not Distracted,15-19
2824,Not Distracted,15-19
2825,Not Distracted,15-19
2826,Not Distracted,15-19
2827,Not Distracted,15-19
2828,Not Distracted,15-19
2829,Not Distracted,15-19
2830,Not Distracted,15-19
2831,Not Distracted,15-19
2832,Not Distracted,15-19
2833,Not Distracted,15-19
2834,Not Distracted,15-19
2835,Not Distracted,15-19
2836,Not Distracted,15-19
2837,Not Distracted,15-19
2838,Not Distracted,15-19
2839,Not Distracted,15-19
2840,Not Distracted,15-19
2841,Not Distracted,15-19
2842,Not Distracted,15-19
2843,Not Distracted,15-19
2844,Not Distracted,15-19
2845,Not Distracted,15-19
2846,Not Distracted,15-19
2847,Not Distracted,15-19
2848,Not Distracted,15-19
2849,Not Distracted,15-19
2850,Not Distracted,15-19
2851,Not Distracted,15-19
2852,Not Distracted,15-19
2853,Not Distracted,15-19
2854,Not Distracted,15-19
2855,Not Distracted,15-19
2856,Not Distracted,15-19
2857,Not Distracted,15-19
2858,Not Distracted,15-19
2859,Not Distracted,15-19
2860,Not Distracted,15-19
2861,Not Distracted,15-19
2862,Not Distracted,15-19
2863,Not Distracted,15-19
2864,Not Distracted,15-19
2865,Not Distracted,15-19
2866,Not Distracted,15-19
2867,Not Distracted,15-19
2868,Not Distracted,15-19
2869,Not Distracted,15-19
2870,Not Distracted,15-19
2871,Not Distracted,15-19
2872,Not Distracted,15-19
2873,Not Distracted,15-19
2874,Not Distracted,15-19
2875,Not Distracted,15-19
2876,Not Distracted,15-19
2877,Not Distracted,15-19
2878,Not Distracted,15-19
2879,Not Distracted,15-19
2880,Not Distracted,15-19
2881,Not Distracted,15-19
2882,Not Distracted,15-19
2883,Not Distracted,15-19
2884,Not Distracted,15-19
2885,Not Distracted,15-19
2886,Not Distracted,15-19
2887,Not Distracted,15-19
2888,Not Distracted,15-19
2889,Not Distracted,15-19
2890,Not Distracted,15-19
2891,Not Distracted,15-19
2892,Not Distracted,15-19
2893,Not Distracted,15-19
2894,Not Distracted,15-19
2895,Not Distracted,15-19
2896,Not Distracted,15-19
2897,Not Distracted,15-19
2898,Not Distracted,15-19
2899,Not Distracted,15-19
2900,Not Distracted,15-19
2901,Not Distracted,15-19
2902,Not Distracted,15-19
2903,Not Distracted,15-19
2904,Not Distracted,15-19
2905,Not Distracted,15-19
2906,Not Distracted,15-19
2907,Not Distracted,15-19
2908,Not Distracted,15-19
2909,Not Distracted,15-19
2910,Not Distracted,15-19
2911,Not Distracted,15-19
2912,Not Distracted,15-19
2913,Not Distracted,15-19
2914,Not Distracted,15-19
2915,Not Distracted,15-19
2916,Not Distracted,15-19
2917,Not Distracted,15-19
2918,Not Distracted,15-19
2919,Not Distracted,15-19
2920,Not Distracted,15-19
2921,Not Distracted,15-19
2922,Not Distracted,15-19
2923,Not Distracted,15-19
2924,Not Distracted,15-19
2925,Not Distracted,15-19
2926,Not Distracted,15-19
2927,Not Distracted,15-19
2928,Not Distracted,15-19
2929,Not Distracted,15-19
2930,Not Distracted,15-19
2931,Not Distracted,15-19
2932,Not Distracted,15-19
2933,Not Distracted,15-19
2934,Not Distracted,15-19
2935,Not Distracted,15-19
2936,Not Distracted,15-19
2937,Not Distracted,15-19
2938,Not Distracted,15-19
2939,Not Distracted,15-19
2940,Not Distracted,15-19
2941,Not Distracted,15-19
2942,Not Distracted,15-19
2943,Not Distracted,15-19
2944,Not Distracted,15-19
2945,Not Distracted,15-19
2946,Not Distracted,15-19
2947,Not Distracted,15-19
2948,Not Distracted,15-19
2949,Not Distracted,15-19
2950,Not Distracted,15-19
2951,Not Distracted,15-19
2952,Not Distracted,15-19
2953,Not Distracted,15-19
2954,Not Distracted,15-19
2955,Not Distracted,15-19
2956,Not Distracted,15-19
2957,Not Distracted,15-19
2958,Not Distracted,15-19
2959,Not Distracted,15-19
2960,Not Distracted,15-19
2961,Not Distracted,15-19
2962,Not Distracted,15-19
2963,Not Distracted,15-19
2964,Not Distracted,15-19
2965,Not Distracted,15-19
2966,Not Distracted,15-19
2967,Not Distracted,15-19
2968,Not Distracted,15-19
2969,Not Distracted,15-19
2970,Not Distracted,15-19
2971,Not Distracted,15-19
2972,Not Distracted,15-19
2973,Not Distracted,15-19
2974,Not Distracted,15-19
2975,Not Distracted,15-19
2976,Not Distracted,15-19
2977,Not Distracted,15-19
2978,Not Distracted,15-19
2979,Not Distracted,15-19
2980,Not Distracted,15-19
2981,Not Distracted,15-19
2982,Not Distracted,15-19
2983,Not Distracted,15-19
2984,Not Distracted,15-19
2985,Not Distracted,15-19
2986,Not Distracted,15-19
2987,Not Distracted,15-19
2988,Not Distracted,15-19
2989,Not Distracted,15-19
2990,Not Distracted,15-19
2991,Not Distracted,15-19
2992,Not Distracted,15-19
2993,Not Distracted,15-19
2994,Not Distracted,15-19
2995,Not Distracted,15-19
2996,Not Distracted,15-19
2997,Not Distracted,15-19
2998,Not Distracted,15-19
2999,Not Distracted,15-19
3000,Not Distracted,15-19
3001,Not Distracted,15-19
3002,Not Distracted,15-19
3003,Not Distracted,15-19
3004,Not Distracted,15-19
3005,Not Distracted,15-19
3006,Not Distracted,15-19
3007,Not Distracted,15-19
3008,Not Distracted,15-19
3009,Not Distracted,15-19
3010,Not Distracted,15-19
3011,Not Distracted,15-19
3012,Not Distracted,15-19
3013,Not Distracted,15-19
3014,Not Distracted,15-19
3015,Not Distracted,15-19
3016,Not Distracted,15-19
3017,Not Distracted,15-19
3018,Not Distracted,15-19
3019,Not Distracted,15-19
3020,Not Distracted,15-19
3021,Not Distracted,15-19
3022,Not Distracted,15-19
3023,Not Distracted,15-19
3024,Not Distracted,15-19
3025,Not Distracted,15-19
3026,Not Distracted,15-19
3027,Not Distracted,15-19
3028,Not Distracted,15-19
3029,Not Distracted,15-19
3030,Not Distracted,15-19
3031,Not Distracted,15-19
3032,Not Distracted,15-19
3033,Not Distracted,15-19
3034,Not Distracted,15-19
3035,Not Distracted,15-19
3036,Not Distracted,15-19
3037,Not Distracted,15-19
3038,Not Distracted,15-19
3039,Not Distracted,15-19
3040,Not Distracted,15-19
3041,Not Distracted,15-19
3042,Not Distracted,15-19
3043,Not Distracted,15-19
3044,Not Distracted,15-19
3045,Not Distracted,15-19
3046,Not Distracted,15-19
3047,Not Distracted,15-19
3048,Not Distracted,15-19
3049,Not Distracted,15-19
3050,Not Distracted,15-19
3051,Not Distracted,15-19
3052,Not Distracted,15-19
3053,Not Distracted,15-19
3054,Not Distracted,15-19
3055,Not Distracted,15-19
3056,Not Distracted,15-19
3057,Not Distracted,15-19
3058,Not Distracted,15-19
3059,Not Distracted,15-19
3060,Not Distracted,15-19
3061,Not Distracted,15-19
3062,Not Distracted,15-19
3063,Not Distracted,15-19
3064,Not Distracted,15-19
3065,Not Distracted,15-19
3066,Not Distracted,15-19
3067,Not Distracted,15-19
3068,Not Distracted,15-19
3069,Not Distracted,15-19
3070,Not Distracted,15-19
3071,Not Distracted,15-19
3072,Not Distracted,15-19
3073,Not Distracted,15-19
3074,Not Distracted,15-19
3075,Not Distracted,15-19
3076,Not Distracted,15-19
3077,Not Distracted,15-19
3078,Not Distracted,15-19
3079,Not Distracted,15-19
3080,Not Distracted,15-19
3081,Not Distracted,15-19
3082,Not Distracted,15-19
3083,Not Distracted,15-19
3084,Not Distracted,15-19
3085,Not Distracted,15-19
3086,Not Distracted,15-19
3087,Not Distracted,15-19
3088,Not Distracted,15-19
3089,Not Distracted,15-19
3090,Not Distracted,15-19
3091,Not Distracted,15-19
3092,Not Distracted,15-19
3093,Not Distracted,15-19
3094,Not Distracted,15-19
3095,Not Distracted,15-19
3096,Not Distracted,15-19
3097,Not Distracted,15-19
3098,Not Distracted,15-19
3099,Not Distracted,15-19
3100,Not Distracted,15-19
3101,Not Distracted,15-19
3102,Not Distracted,15-19
3103,Not Distracted,15-19
3104,Not Distracted,15-19
3105,Not Distracted,15-19
3106,Not Distracted,15-19
3107,Not Distracted,15-19
3108,Not Distracted,15-19
3109,Not Distracted,15-19
3110,Not Distracted,15-19
3111,Not Distracted,15-19
3112,Not Distracted,15-19
3113,Not Distracted,15-19
3114,Not Distracted,15-19
3115,Not Distracted,15-19
3116,Not Distracted,15-19
3117,Not Distracted,15-19
3118,Not Distracted,15-19
3119,Not Distracted,15-19
3120,Not Distracted,15-19
3121,Not Distracted,15-19
3122,Not Distracted,15-19
3123,Not Distracted,15-19
3124,Not Distracted,15-19
3125,Not Distracted,15-19
3126,Not Distracted,15-19
3127,Not Distracted,15-19
3128,Not Distracted,15-19
3129,Not Distracted,15-19
3130,Not Distracted,15-19
3131,Not Distracted,15-19
3132,Not Distracted,15-19
3133,Not Distracted,15-19
3134,Not Distracted,15-19
3135,Not Distracted,15-19
3136,Not Distracted,15-19
3137,Not Distracted,15-19
3138,Not Distracted,15-19
3139,Not Distracted,15-19
3140,Not Distracted,15-19
3141,Not Distracted,15-19
3142,Not Distracted,15-19
3143,Not Distracted,15-19
3144,Not Distracted,15-19
3145,Not Distracted,15-19
3146,Not Distracted,15-19
3147,Not Distracted,15-19
3148,Not Distracted,15-19
3149,Not Distracted,15-19
3150,Not Distracted,15-19
3151,Not Distracted,15-19
3152,Not Distracted,15-19
3153,Not Distracted,15-19
3154,Not Distracted,15-19
3155,Not Distracted,15-19
3156,Not Distracted,15-19
3157,Not Distracted,15-19
3158,Not Distracted,15-19
3159,Not Distracted,15-19
3160,Not Distracted,15-19
3161,Not Distracted,15-19
3162,Not Distracted,15-19
3163,Not Distracted,15-19
3164,Not Distracted,15-19
3165,Not Distracted,15-19
3166,Not Distracted,15-19
3167,Not Distracted,15-19
3168,Not Distracted,15-19
3169,Not Distracted,15-19
3170,Not Distracted,15-19
3171,Not Distracted,15-19
3172,Not Distracted,15-19
3173,Not Distracted,15-19
3174,Not Distracted,15-19
3175,Not Distracted,15-19
3176,Not Distracted,15-19
3177,Not Distracted,15-19
3178,Not Distracted,15-19
3179,Not Distracted,15-19
3180,Not Distracted,15-19
3181,Not Distracted,15-19
3182,Not Distracted,15-19
3183,Not Distracted,15-19
3184,Not Distracted,15-19
3185,Not Distracted,15-19
3186,Not Distracted,15-19
3187,Not Distracted,15-19
3188,Not Distracted,15-19
3189,Not Distracted,15-19
3190,Not Distracted,15-19
3191,Not Distracted,15-19
3192,Not Distracted,15-19
3193,Not Distracted,15-19
3194,Not Distracted,15-19
3195,Not Distracted,15-19
3196,Not Distracted,15-19
3197,Not Distracted,15-19
3198,Not Distracted,15-19
3199,Not Distracted,15-19
3200,Not Distracted,15-19
3201,Not Distracted,15-19
3202,Not Distracted,15-19
3203,Not Distracted,15-19
3204,Not Distracted,15-19
3205,Not Distracted,15-19
3206,Not Distracted,15-19
3207,Not Distracted,15-19
3208,Not Distracted,15-19
3209,Not Distracted,15-19
3210,Not Distracted,15-19
3211,Not Distracted,15-19
3212,Not Distracted,15-19
3213,Not Distracted,15-19
3214,Not Distracted,15-19
3215,Not Distracted,15-19
3216,Not Distracted,15-19
3217,Not Distracted,15-19
3218,Not Distracted,15-19
3219,Not Distracted,15-19
3220,Not Distracted,15-19
3221,Not Distracted,15-19
3222,Not Distracted,15-19
3223,Not Distracted,15-19
3224,Not Distracted,15-19
3225,Not Distracted,15-19
3226,Not Distracted,15-19
3227,Not Distracted,15-19
3228,Not Distracted,15-19
3229,Not Distracted,15-19
3230,Not Distracted,15-19
3231,Not Distracted,15-19
3232,Not Distracted,15-19
3233,Not Distracted,15-19
3234,Not Distracted,15-19
3235,Not Distracted,15-19
3236,Not Distracted,15-19
3237,Not Distracted,15-19
3238,Not Distracted,15-19
3239,Not Distracted,15-19
3240,Not Distracted,15-19
3241,Not Distracted,15-19
3242,Not Distracted,15-19
3243,Not Distracted,15-19
3244,Not Distracted,15-19
3245,Not Distracted,15-19
3246,Not Distracted,15-19
3247,Not Distracted,15-19
3248,Not Distracted,15-19
3249,Not Distracted,15-19
3250,Not Distracted,15-19
3251,Not Distracted,15-19
3252,Not Distracted,15-19
3253,Not Distracted,15-19
3254,Not Distracted,15-19
3255,Not Distracted,15-19
3256,Not Distracted,15-19
3257,Not Distracted,15-19
3258,Not Distracted,15-19
3259,Not Distracted,15-19
3260,Not Distracted,15-19
3261,Not Distracted,15-19
3262,Not Distracted,15-19
3263,Not Distracted,15-19
3264,Not Distracted,15-19
3265,Not Distracted,15-19
3266,Not Distracted,15-19
3267,Not Distracted,15-19
3268,Not Distracted,15-19
3269,Not Distracted,15-19
3270,Not Distracted,15-19
3271,Not Distracted,15-19
3272,Not Distracted,15-19
3273,Not Distracted,15-19
3274,Not Distracted,15-19
3275,Not Distracted,15-19
3276,Not Distracted,15-19
3277,Not Distracted,15-19
3278,Not Distracted,15-19
3279,Not Distracted,15-19
3280,Not Distracted,15-19
3281,Not Distracted,15-19
3282,Not Distracted,15-19
3283,Not Distracted,15-19
3284,Not Distracted,15-19
3285,Not Distracted,15-19
3286,Not Distracted,15-19
3287,Not Distracted,15-19
3288,Not Distracted,15-19
3289,Not Distracted,15-19
3290,Not Distracted,15-19
3291,Not Distracted,15-19
3292,Not Distracted,15-19
3293,Not Distracted,15-19
3294,Not Distracted,15-19
3295,Not Distracted,15-19
3296,Not Distracted,15-19
3297,Not Distracted,15-19
3298,Not Distracted,15-19
3299,Not Distracted,15-19
3300,Not Distracted,15-19
3301,Not Distracted,15-19
3302,Not Distracted,15-19
3303,Not Distracted,15-19
3304,Not Distracted,15-19
3305,Not Distracted,15-19
3306,Not Distracted,15-19
3307,Not Distracted,15-19
3308,Not Distracted,15-19
3309,Not Distracted,15-19
3310,Not Distracted,15-19
3311,Not Distracted,15-19
3312,Not Distracted,15-19
3313,Not Distracted,15-19
3314,Not Distracted,15-19
3315,Not Distracted,15-19
3316,Not Distracted,15-19
3317,Not Distracted,15-19
3318,Not Distracted,15-19
3319,Not Distracted,15-19
3320,Not Distracted,15-19
3321,Not Distracted,15-19
3322,Not Distracted,15-19
3323,Not Distracted,15-19
3324,Other Distracted,20-29
3325,Other Distracted,20-29
3326,Other Distracted,20-29
3327,Other Distracted,20-29
3328,Other Distracted,20-29
3329,Other Distracted,20-29
3330,Other Distracted,20-29
3331,Other Distracted,20-29
3332,Other Distracted,20-29
3333,Other Distracted,20-29
3334,Other Distracted,20-29
3335,Other Distracted,20-29
3336,Other Distracted,20-29
3337,Other Distracted,20-29
3338,Other Distracted,20-29
3339,Other Distracted,20-29
3340,Other Distracted,20-29
3341,Other Distracted,20-29
3342,Other Distracted,20-29
3343,Other Distracted,20-29
3344,Other Distracted,20-29
3345,Other Distracted,20-29
3346,Other Distracted,20-29
3347,Other Distracted,20-29
3348,Other Distracted,20-29
3349,Other Distracted,20-29
3350,Other Distracted,20-29
3351,Other Distracted,20-29
3352,Other Distracted,20-29
3353,Other Distracted,20-29
3354,Other Distracted,20-29
3355,Other Distracted,20-29
3356,Other Distracted,20-29
3357,Other Distracted,20-29
3358,Other Distracted,20-29
3359,Other Distracted,20-29
3360,Other Distracted,20-29
3361,Other Distracted,20-29
3362,Other Distracted,20-29
3363,Other Distracted,20-29
3364,Other Distracted,20-29
3365,Other Distracted,20-29
3366,Other Distracted,20-29
3367,Other Distracted,20-29
3368,Other Distracted,20-29
3369,Other Distracted,20-29
3370,Other Distracted,20-29
3371,Other Distracted,20-29
3372,Other Distracted,20-29
3373,Other Distracted,20-29
3374,Other Distracted,20-29
3375,Other Distracted,20-29
3376,Other Distracted,20-29
3377,Other Distracted,20-29
3378,Other Distracted,20-29
3379,Other Distracted,20-29
3380,Other Distracted,20-29
3381,Other Distracted,20-29
3382,Other Distracted,20-29
3383,Other Distracted,20-29
3384,Other Distracted,20-29
3385,Other Distracted,20-29
3386,Other Distracted,20-29
3387,Other Distracted,20-29
3388,Other Distracted,20-29
3389,Other Distracted,20-29
3390,Other Distracted,20-29
3391,Other Distracted,20-29
3392,Other Distracted,20-29
3393,Other Distracted,20-29
3394,Other Distracted,20-29
3395,Other Distracted,20-29
3396,Other Distracted,20-29
3397,Other Distracted,20-29
3398,Other Distracted,20-29
3399,Other Distracted,20-29
3400,Other Distracted,20-29
3401,Other Distracted,20-29
3402,Other Distracted,20-29
3403,Other Distracted,20-29
3404,Other Distracted,20-29
3405,Other Distracted,20-29
3406,Other Distracted,20-29
3407,Other Distracted,20-29
3408,Other Distracted,20-29
3409,Other Distracted,20-29
3410,Other Distracted,20-29
3411,Other Distracted,20-29
3412,Other Distracted,20-29
3413,Other Distracted,20-29
3414,Other Distracted,20-29
3415,Other Distracted,20-29
3416,Other Distracted,20-29
3417,Other Distracted,20-29
3418,Other Distracted,20-29
3419,Other Distracted,20-29
3420,Other Distracted,20-29
3421,Other Distracted,20-29
3422,Other Distracted,20-29
3423,Other Distracted,20-29
3424,Other Distracted,20-29
3425,Other Distracted,20-29
3426,Other Distracted,20-29
3427,Other Distracted,20-29
3428,Other Distracted,20-29
3429,Other Distracted,20-29
3430,Other Distracted,20-29
3431,Other Distracted,20-29
3432,Other Distracted,20-29
3433,Other Distracted,20-29
3434,Other Distracted,20-29
3435,Other Distracted,20-29
3436,Other Distracted,20-29
3437,Other Distracted,20-29
3438,Other Distracted,20-29
3439,Other Distracted,20-29
3440,Other Distracted,20-29
3441,Other Distracted,20-29
3442,Other Distracted,20-29
3443,Other Distracted,20-29
3444,Other Distracted,20-29
3445,Other Distracted,20-29
3446,Other Distracted,20-29
3447,Other Distracted,20-29
3448,Other Distracted,20-29
3449,Other Distracted,20-29
3450,Other Distracted,20-29
3451,Other Distracted,20-29
3452,Other Distracted,20-29
3453,Other Distracted,20-29
3454,Other Distracted,20-29
3455,Other Distracted,20-29
3456,Other Distracted,20-29
3457,Other Distracted,20-29
3458,Other Distracted,20-29
3459,Other Distracted,20-29
3460,Other Distracted,20-29
3461,Other Distracted,20-29
3462,Other Distracted,20-29
3463,Other Distracted,20-29
3464,Other Distracted,20-29
3465,Other Distracted,20-29
3466,Other Distracted,20-29
3467,Other Distracted,20-29
3468,Other Distracted,20-29
3469,Other Distracted,20-29
3470,Other Distracted,20-29
3471,Other Distracted,20-29
3472,Other Distracted,20-29
3473,Other Distracted,20-29
